source_script	original_status	public_status	reason
AF35_LONGITUDINAL_CLONAL_STATE_DYNAMICS_M2_CLEANROOM_v1/scripts/06_phaseB_clinical.py	ACTIVE_CURRENT	EXCLUDED_FROM_ACTIVE_RELEASE	RC2 full deterministic source-result contract not verified; source retained as candidate, not runnable approval
AF35_CLONOTYPE_NEUTRALIZED_STATE_OCCUPANCY_v1/scripts/02_clinical.py	ACTIVE_CURRENT	EXCLUDED_FROM_ACTIVE_RELEASE	RC2 full deterministic source-result contract not verified; source retained as candidate, not runnable approval
AF35_LONGITUDINAL_CLONAL_STATE_DYNAMICS_M2_CLEANROOM_v1/scripts/03_phaseA_molecular.py	ACTIVE_CURRENT	EXCLUDED_FROM_ACTIVE_RELEASE	RC2 full deterministic source-result contract not verified; source retained as candidate, not runnable approval
HCC_ICI_project/04_scripts/spatial_specificity_rescue/01_spatial_specificity_rescue.R	ACTIVE_CURRENT	EXCLUDED_FROM_ACTIVE_RELEASE	RC2 full deterministic source-result contract not verified; source retained as candidate, not runnable approval
HCC_ICI_BIOLOGICAL_RESOLUTION_BR1_v1/scripts/module_d_prepare_spatial_tables.R	ACTIVE_CURRENT	EXCLUDED_FROM_ACTIVE_RELEASE	RC2 full deterministic source-result contract not verified; source retained as candidate, not runnable approval
绘图视觉/HCC_ICI_MAIN_SPECIFIC_PANEL_RECONSTRUCTION_v1/qa/build_main.py	ACTIVE_CURRENT	DISPLAY_ONLY	Display/document assembly or superseded manifest; not an analytical producer
WU_AF35_DC_CD8_SPATIAL_TOPOLOGY_v1/scripts/01_topology.py	ACTIVE_CURRENT	EXCLUDED_FROM_ACTIVE_RELEASE	RC2 full deterministic source-result contract not verified; source retained as candidate, not runnable approval
WU_AF35_DC_CD8_SPATIAL_TOPOLOGY_v1/scripts/00_feasibility_freeze.py	ACTIVE_CURRENT	EXCLUDED_FROM_ACTIVE_RELEASE	RC2 full deterministic source-result contract not verified; source retained as candidate, not runnable approval
AF35_MATCHED_RANDOM_CLINICAL_NULL_v1/03_score_and_join.R	ACTIVE_CURRENT	EXCLUDED_FROM_ACTIVE_RELEASE	RC2 full deterministic source-result contract not verified; source retained as candidate, not runnable approval
HCC_ICI_project/04_scripts/phase19/05_phase19b_outcome_analysis.R	ACTIVE_CURRENT	EXCLUDED_FROM_ACTIVE_RELEASE	RC2 full deterministic source-result contract not verified; source retained as candidate, not runnable approval
HCC_ICI_project/04_scripts/phase15c_public_benchmark/01_run_phase15c_benchmark.R	ACTIVE_CURRENT	EXCLUDED_FROM_ACTIVE_RELEASE	RC2 full deterministic source-result contract not verified; source retained as candidate, not runnable approval
HCC_ICI_project/04_scripts/phase15b_public_replication/03_analyze_public_replication.R	ACTIVE_CURRENT	EXCLUDED_FROM_ACTIVE_RELEASE	RC2 full deterministic source-result contract not verified; source retained as candidate, not runnable approval
HCC_ICI_project/04_scripts/phase15b_public_replication/02_lock_outcome_maps.R	ACTIVE_CURRENT	EXCLUDED_FROM_ACTIVE_RELEASE	RC2 full deterministic source-result contract not verified; source retained as candidate, not runnable approval
HCC_ICI_project/04_scripts/phase15b_public_replication/01_prepare_response_blind_inputs.R	ACTIVE_CURRENT	EXCLUDED_FROM_ACTIVE_RELEASE	RC2 full deterministic source-result contract not verified; source retained as candidate, not runnable approval
AF35_BROAD_IMMUNE_RESIDUAL_ASSOCIATION_v1/scripts/03_join_and_analyze.py	ACTIVE_CURRENT	EXCLUDED_FROM_ACTIVE_RELEASE	RC2 full deterministic source-result contract not verified; source retained as candidate, not runnable approval
CLINICAL_ANCHOR_READOUT_DECOMPOSITION_v1/scripts/03_paired_and_firth.R	ACTIVE_CURRENT	EXCLUDED_FROM_ACTIVE_RELEASE	RC2 full deterministic source-result contract not verified; source retained as candidate, not runnable approval
HCC_ICI_project/04_scripts/pretreatment_clinical_translation/01_gse104580_tace_falsification.R	ACTIVE_CURRENT	EXCLUDED_FROM_ACTIVE_RELEASE	RC2 full deterministic source-result contract not verified; source retained as candidate, not runnable approval
AF35_COMPONENT_ABLATION_ASSOCIATION_ROBUSTNESS_v1/05_analyze.py	ACTIVE_CURRENT	EXCLUDED_FROM_ACTIVE_RELEASE	RC2 full deterministic source-result contract not verified; source retained as candidate, not runnable approval
AF35_MATCHED_RANDOM_CLINICAL_NULL_v1/02_freeze_matched_programs.py	ACTIVE_CURRENT	EXCLUDED_FROM_ACTIVE_RELEASE	RC2 full deterministic source-result contract not verified; source retained as candidate, not runnable approval
AF35_MATCHED_RANDOM_CLINICAL_NULL_v1/04_summarize_and_verify.py	ACTIVE_CURRENT	EXCLUDED_FROM_ACTIVE_RELEASE	RC2 full deterministic source-result contract not verified; source retained as candidate, not runnable approval
HCC_ICI_project/04_scripts/phase19/04_phase19b_freeze_response_blind_tables.py	ACTIVE_CURRENT	EXCLUDED_FROM_ACTIVE_RELEASE	RC2 full deterministic source-result contract not verified; source retained as candidate, not runnable approval
HCC_ICI_project/04_scripts/phase19/03_phase19b_response_blind_scoring.R	ACTIVE_CURRENT	EXCLUDED_FROM_ACTIVE_RELEASE	RC2 full deterministic source-result contract not verified; source retained as candidate, not runnable approval
HCC_ICI_project/04_scripts/phase19/07_prepare_phase19_manifest.py	ACTIVE_CURRENT	HISTORICAL	Display/document assembly or superseded manifest; not an analytical producer
HCC_ICI_project/04_scripts/final_harmonization/99_freeze_manifest.R	ACTIVE_CURRENT	HISTORICAL	Display/document assembly or superseded manifest; not an analytical producer
AF35_FUNCTIONAL_ROLE_STATE_ARCHITECTURE_v1/scripts/00_initialize.py	ACTIVE_CURRENT	EXCLUDED_FROM_ACTIVE_RELEASE	RC2 full deterministic source-result contract not verified; source retained as candidate, not runnable approval
AF35_COMPONENT_ABLATION_ASSOCIATION_ROBUSTNESS_v1/01_freeze.py	ACTIVE_CURRENT	EXCLUDED_FROM_ACTIVE_RELEASE	RC2 full deterministic source-result contract not verified; source retained as candidate, not runnable approval
HCC_FINAL_AI_REVIEW_CORRECTION_20260921_V1/audit/wu_bounded_sensitivity.R	ACTIVE_CURRENT	EXCLUDED_FROM_ACTIVE_RELEASE	RC2 full deterministic source-result contract not verified; source retained as candidate, not runnable approval
AF35_AGGREGATION_COMPOSITION_DECOMPOSITION_v1/scripts/02_clinical_utf8.py	ADDITIONAL_PRODUCER_OR_HELPER	EXCLUDED_FROM_ACTIVE_RELEASE	RC2 full deterministic source-result contract not verified; source retained as candidate, not runnable approval
AF35_AGGREGATION_COMPOSITION_DECOMPOSITION_v1/scripts/common.py	ADDITIONAL_PRODUCER_OR_HELPER	EXCLUDED_FROM_ACTIVE_RELEASE	RC2 full deterministic source-result contract not verified; source retained as candidate, not runnable approval
AF35_BROAD_IMMUNE_RESIDUAL_ASSOCIATION_v1/scripts/00_initialize.py	ADDITIONAL_PRODUCER_OR_HELPER	EXCLUDED_FROM_ACTIVE_RELEASE	RC2 full deterministic source-result contract not verified; source retained as candidate, not runnable approval
AF35_CLINICAL_STATE_OCCUPANCY_DECOMPOSITION_v1/scripts/02_join.py	ADDITIONAL_PRODUCER_OR_HELPER	EXCLUDED_FROM_ACTIVE_RELEASE	RC2 full deterministic source-result contract not verified; source retained as candidate, not runnable approval
AF35_CLINICAL_STATE_OCCUPANCY_DECOMPOSITION_v1/scripts/03_clinical.py	ADDITIONAL_PRODUCER_OR_HELPER	EXCLUDED_FROM_ACTIVE_RELEASE	RC2 full deterministic source-result contract not verified; source retained as candidate, not runnable approval
AF35_CLINICAL_STATE_OCCUPANCY_DECOMPOSITION_v1/scripts/common.py	ADDITIONAL_PRODUCER_OR_HELPER	EXCLUDED_FROM_ACTIVE_RELEASE	RC2 full deterministic source-result contract not verified; source retained as candidate, not runnable approval
AF35_CLONOTYPE_NEUTRALIZED_STATE_OCCUPANCY_v1/scripts/common.py	ADDITIONAL_PRODUCER_OR_HELPER	EXCLUDED_FROM_ACTIVE_RELEASE	RC2 full deterministic source-result contract not verified; source retained as candidate, not runnable approval
AF35_FUNCTIONAL_ROLE_STATE_ARCHITECTURE_v1/scripts/03_molecular_and_state.py	ADDITIONAL_PRODUCER_OR_HELPER	EXCLUDED_FROM_ACTIVE_RELEASE	RC2 full deterministic source-result contract not verified; source retained as candidate, not runnable approval
AF35_FUNCTIONAL_ROLE_STATE_ARCHITECTURE_v1/scripts/04_recover_frozen_perturbation.py	ADDITIONAL_PRODUCER_OR_HELPER	EXCLUDED_FROM_ACTIVE_RELEASE	RC2 full deterministic source-result contract not verified; source retained as candidate, not runnable approval
AF35_LONGITUDINAL_CLONAL_STATE_DYNAMICS_M2_CLEANROOM_v1/scripts/common.py	ADDITIONAL_PRODUCER_OR_HELPER	EXCLUDED_FROM_ACTIVE_RELEASE	RC2 full deterministic source-result contract not verified; source retained as candidate, not runnable approval
HCC_ICI_project/04_scripts/04_target_ranking/01_finalize_target_evidence.R	ADDITIONAL_PRODUCER_OR_HELPER	EXCLUDED_FROM_ACTIVE_RELEASE	RC2 full deterministic source-result contract not verified; source retained as candidate, not runnable approval
HCC_ICI_project/04_scripts/config.R	ADDITIONAL_PRODUCER_OR_HELPER	EXCLUDED_FROM_ACTIVE_RELEASE	RC2 full deterministic source-result contract not verified; source retained as candidate, not runnable approval
HCC_ICI_project/04_scripts/phase2/07_functional_program_GSE206325.R	ADDITIONAL_PRODUCER_OR_HELPER	EXCLUDED_FROM_ACTIVE_RELEASE	RC2 full deterministic source-result contract not verified; source retained as candidate, not runnable approval
PTPN22_AF35_COUPLING_ARCHITECTURE_v1/scripts/coupling_math.py	ADDITIONAL_PRODUCER_OR_HELPER	EXCLUDED_FROM_ACTIVE_RELEASE	RC2 full deterministic source-result contract not verified; source retained as candidate, not runnable approval
PTPN22_AF35_PROGRAM_PERTURBATION_PROJECTION_v1/scripts/common.py	ADDITIONAL_PRODUCER_OR_HELPER	EXCLUDED_FROM_ACTIVE_RELEASE	RC2 full deterministic source-result contract not verified; source retained as candidate, not runnable approval
PTPN22_STATE_AXIS_SPECIFICITY_v1/scripts/coupling_math.py	ADDITIONAL_PRODUCER_OR_HELPER	EXCLUDED_FROM_ACTIVE_RELEASE	RC2 full deterministic source-result contract not verified; source retained as candidate, not runnable approval
WU_AF35_DC_CD8_SPATIAL_TOPOLOGY_v1/scripts/common.py	ADDITIONAL_PRODUCER_OR_HELPER	EXCLUDED_FROM_ACTIVE_RELEASE	RC2 full deterministic source-result contract not verified; source retained as candidate, not runnable approval
