analysis_id	script	private_dependency	dependency_type	required_for_execution	public_replacement_available	resolution	status
A011	scripts/current/06_clinical/sources/AF35_COMPONENT_ABLATION_ASSOCIATION_ROBUSTNESS_v1/01_freeze.py	Private authorization copy (content never distributed)	NONCOMPUTATIONAL_PROVENANCE	NO_AFTER_PACKAGING_CHANGE	docs/RC2_PACKAGING_BOUNDARY.md	Copy operation and authorization-only hash-list entry removed; computational protocol locks retained	REMOVED_DEPENDENCY
A012	scripts/current/06_clinical/sources/AF35_COMPONENT_ABLATION_ASSOCIATION_ROBUSTNESS_v1/05_analyze.py	Inherited module protocol/helper/input closure not demonstrated	UNRESOLVED_EXECUTION_CONTRACT	NOT_FULLY_RESOLVED	NO_COMPLETE_PUBLIC_CONTRACT	Candidate retained for review but excluded from ACTIVE_CURRENT; source expressions and input evidence audited	EXCLUDED_FROM_ACTIVE_RELEASE
A013	scripts/current/03_AF35_measurement/sources/AF35_FUNCTIONAL_ROLE_STATE_ARCHITECTURE_v1/scripts/00_initialize.py	Private authorization copy (content never distributed)	NONCOMPUTATIONAL_PROVENANCE	NO_AFTER_PACKAGING_CHANGE	docs/RC2_PACKAGING_BOUNDARY.md	Copy operation and authorization-only hash-list entry removed; computational protocol locks retained	REMOVED_DEPENDENCY
A014	scripts/current/03_AF35_measurement/sources/AF35_FUNCTIONAL_ROLE_STATE_ARCHITECTURE_v1/scripts/03_molecular_and_state.py	Inherited module protocol/helper/input closure not demonstrated	UNRESOLVED_EXECUTION_CONTRACT	NOT_FULLY_RESOLVED	NO_COMPLETE_PUBLIC_CONTRACT	Candidate retained for review but excluded from ACTIVE_CURRENT; source expressions and input evidence audited	EXCLUDED_FROM_ACTIVE_RELEASE
A015	scripts/current/07_perturbation/sources/AF35_FUNCTIONAL_ROLE_STATE_ARCHITECTURE_v1/scripts/04_recover_frozen_perturbation.py	Inherited module protocol/helper/input closure not demonstrated	UNRESOLVED_EXECUTION_CONTRACT	NOT_FULLY_RESOLVED	NO_COMPLETE_PUBLIC_CONTRACT	Candidate retained for review but excluded from ACTIVE_CURRENT; source expressions and input evidence audited	EXCLUDED_FROM_ACTIVE_RELEASE
A016	scripts/current/04_clonotype/sources/AF35_LONGITUDINAL_CLONAL_STATE_DYNAMICS_M2_CLEANROOM_v1/scripts/03_phaseA_molecular.py	Inherited module protocol/helper/input closure not demonstrated	UNRESOLVED_EXECUTION_CONTRACT	NOT_FULLY_RESOLVED	NO_COMPLETE_PUBLIC_CONTRACT	Candidate retained for review but excluded from ACTIVE_CURRENT; source expressions and input evidence audited	EXCLUDED_FROM_ACTIVE_RELEASE
A017	scripts/current/06_clinical/sources/AF35_LONGITUDINAL_CLONAL_STATE_DYNAMICS_M2_CLEANROOM_v1/scripts/06_phaseB_clinical.py	Inherited module protocol/helper/input closure not demonstrated	UNRESOLVED_EXECUTION_CONTRACT	NOT_FULLY_RESOLVED	NO_COMPLETE_PUBLIC_CONTRACT	Candidate retained for review but excluded from ACTIVE_CURRENT; source expressions and input evidence audited	EXCLUDED_FROM_ACTIVE_RELEASE
A018	scripts/current/04_clonotype/sources/AF35_LONGITUDINAL_CLONAL_STATE_DYNAMICS_M2_CLEANROOM_v1/scripts/07_phaseB_verify.R	Inherited module protocol/helper/input closure not demonstrated	UNRESOLVED_EXECUTION_CONTRACT	NOT_FULLY_RESOLVED	NO_COMPLETE_PUBLIC_CONTRACT	Candidate retained for review but excluded from ACTIVE_CURRENT; source expressions and input evidence audited	EXCLUDED_FROM_ACTIVE_RELEASE
A019	scripts/current/04_clonotype/sources/AF35_LONGITUDINAL_CLONAL_STATE_DYNAMICS_M2_CLEANROOM_v1/scripts/common.py	Inherited module protocol/helper/input closure not demonstrated	UNRESOLVED_EXECUTION_CONTRACT	NOT_FULLY_RESOLVED	NO_COMPLETE_PUBLIC_CONTRACT	Candidate retained for review but excluded from ACTIVE_CURRENT; source expressions and input evidence audited	EXCLUDED_FROM_ACTIVE_RELEASE
A020	scripts/current/06_clinical/sources/AF35_MATCHED_RANDOM_CLINICAL_NULL_v1/02_freeze_matched_programs.py	Inherited module protocol/helper/input closure not demonstrated	UNRESOLVED_EXECUTION_CONTRACT	NOT_FULLY_RESOLVED	NO_COMPLETE_PUBLIC_CONTRACT	Candidate retained for review but excluded from ACTIVE_CURRENT; source expressions and input evidence audited	EXCLUDED_FROM_ACTIVE_RELEASE
A021	scripts/current/06_clinical/sources/AF35_MATCHED_RANDOM_CLINICAL_NULL_v1/03_score_and_join.R	Inherited module protocol/helper/input closure not demonstrated	UNRESOLVED_EXECUTION_CONTRACT	NOT_FULLY_RESOLVED	NO_COMPLETE_PUBLIC_CONTRACT	Candidate retained for review but excluded from ACTIVE_CURRENT; source expressions and input evidence audited	EXCLUDED_FROM_ACTIVE_RELEASE
A022	scripts/current/06_clinical/sources/AF35_MATCHED_RANDOM_CLINICAL_NULL_v1/04_summarize_and_verify.py	Inherited module protocol/helper/input closure not demonstrated	UNRESOLVED_EXECUTION_CONTRACT	NOT_FULLY_RESOLVED	NO_COMPLETE_PUBLIC_CONTRACT	Candidate retained for review but excluded from ACTIVE_CURRENT; source expressions and input evidence audited	EXCLUDED_FROM_ACTIVE_RELEASE
A023	scripts/current/03_AF35_measurement/sources/AF35_RESPONSE_BLIND_PROGRAM_COHERENCE_v1/scripts/00_initialize.py	Private authorization copy (content never distributed)	NONCOMPUTATIONAL_PROVENANCE	NO_AFTER_PACKAGING_CHANGE	docs/RC2_PACKAGING_BOUNDARY.md	Copy operation and authorization-only hash-list entry removed; computational protocol locks retained	REMOVED_DEPENDENCY
A024	scripts/current/03_AF35_measurement/sources/AF35_RESPONSE_BLIND_PROGRAM_COHERENCE_v1/scripts/01_freeze_and_analyze.py	Inherited module protocol/helper/input closure not demonstrated	UNRESOLVED_EXECUTION_CONTRACT	NOT_FULLY_RESOLVED	NO_COMPLETE_PUBLIC_CONTRACT	Candidate retained for review but excluded from ACTIVE_CURRENT; source expressions and input evidence audited	EXCLUDED_FROM_ACTIVE_RELEASE
A025	scripts/current/06_clinical/sources/CLINICAL_ANCHOR_READOUT_DECOMPOSITION_v1/scripts/03_paired_and_firth.R	Inherited module protocol/helper/input closure not demonstrated	UNRESOLVED_EXECUTION_CONTRACT	NOT_FULLY_RESOLVED	NO_COMPLETE_PUBLIC_CONTRACT	Candidate retained for review but excluded from ACTIVE_CURRENT; source expressions and input evidence audited	EXCLUDED_FROM_ACTIVE_RELEASE
A026	scripts/current/04_clonotype/sources/GSE235863_CLONE_STATE_DECOMPOSITION_v1/authority/04_scripts/phase19/02_phase19a_patient_analysis.py	Inherited module protocol/helper/input closure not demonstrated	UNRESOLVED_EXECUTION_CONTRACT	NOT_FULLY_RESOLVED	NO_COMPLETE_PUBLIC_CONTRACT	Candidate retained for review but excluded from ACTIVE_CURRENT; source expressions and input evidence audited	EXCLUDED_FROM_ACTIVE_RELEASE
A027	scripts/current/04_clonotype/sources/GSE235863_CLONE_STATE_DECOMPOSITION_v1/scripts/01_authority.py	Inherited module protocol/helper/input closure not demonstrated	UNRESOLVED_EXECUTION_CONTRACT	NOT_FULLY_RESOLVED	NO_COMPLETE_PUBLIC_CONTRACT	Candidate retained for review but excluded from ACTIVE_CURRENT; source expressions and input evidence audited	EXCLUDED_FROM_ACTIVE_RELEASE
A028	scripts/current/04_clonotype/sources/GSE235863_CLONE_STATE_DECOMPOSITION_v1/scripts/02_analyze.py	Inherited module protocol/helper/input closure not demonstrated	UNRESOLVED_EXECUTION_CONTRACT	NOT_FULLY_RESOLVED	NO_COMPLETE_PUBLIC_CONTRACT	Candidate retained for review but excluded from ACTIVE_CURRENT; source expressions and input evidence audited	EXCLUDED_FROM_ACTIVE_RELEASE
A029	scripts/current/05_spatial/sources/HCC_FINAL_AI_REVIEW_CORRECTION_20260921_V1/audit/wu_bounded_sensitivity.R	Inherited module protocol/helper/input closure not demonstrated	UNRESOLVED_EXECUTION_CONTRACT	NOT_FULLY_RESOLVED	NO_COMPLETE_PUBLIC_CONTRACT	Candidate retained for review but excluded from ACTIVE_CURRENT; source expressions and input evidence audited	EXCLUDED_FROM_ACTIVE_RELEASE
A030	scripts/current/05_spatial/sources/HCC_ICI_BIOLOGICAL_RESOLUTION_BR1_v1/scripts/module_d_prepare_spatial_tables.R	Inherited module protocol/helper/input closure not demonstrated	UNRESOLVED_EXECUTION_CONTRACT	NOT_FULLY_RESOLVED	NO_COMPLETE_PUBLIC_CONTRACT	Candidate retained for review but excluded from ACTIVE_CURRENT; source expressions and input evidence audited	EXCLUDED_FROM_ACTIVE_RELEASE
A031	scripts/current/01_anchor/sources/HCC_ICI_project/04_scripts/04_target_ranking/01_finalize_target_evidence.R	Inherited module protocol/helper/input closure not demonstrated	UNRESOLVED_EXECUTION_CONTRACT	NOT_FULLY_RESOLVED	NO_COMPLETE_PUBLIC_CONTRACT	Candidate retained for review but excluded from ACTIVE_CURRENT; source expressions and input evidence audited	EXCLUDED_FROM_ACTIVE_RELEASE
A032	scripts/current/02_state/sources/HCC_ICI_project/04_scripts/config.R	Inherited module protocol/helper/input closure not demonstrated	UNRESOLVED_EXECUTION_CONTRACT	NOT_FULLY_RESOLVED	NO_COMPLETE_PUBLIC_CONTRACT	Candidate retained for review but excluded from ACTIVE_CURRENT; source expressions and input evidence audited	EXCLUDED_FROM_ACTIVE_RELEASE
A033	scripts/current/04_clonotype/sources/HCC_ICI_project/04_scripts/final_harmonization/01_meta_clone_compartment.R	Inherited module protocol/helper/input closure not demonstrated	UNRESOLVED_EXECUTION_CONTRACT	NOT_FULLY_RESOLVED	NO_COMPLETE_PUBLIC_CONTRACT	Candidate retained for review but excluded from ACTIVE_CURRENT; source expressions and input evidence audited	EXCLUDED_FROM_ACTIVE_RELEASE
A034	scripts/current/06_clinical/sources/HCC_ICI_project/04_scripts/phase15b_public_replication/01_prepare_response_blind_inputs.R	Inherited module protocol/helper/input closure not demonstrated	UNRESOLVED_EXECUTION_CONTRACT	NOT_FULLY_RESOLVED	NO_COMPLETE_PUBLIC_CONTRACT	Candidate retained for review but excluded from ACTIVE_CURRENT; source expressions and input evidence audited	EXCLUDED_FROM_ACTIVE_RELEASE
A035	scripts/current/06_clinical/sources/HCC_ICI_project/04_scripts/phase15b_public_replication/02_lock_outcome_maps.R	Inherited module protocol/helper/input closure not demonstrated	UNRESOLVED_EXECUTION_CONTRACT	NOT_FULLY_RESOLVED	NO_COMPLETE_PUBLIC_CONTRACT	Candidate retained for review but excluded from ACTIVE_CURRENT; source expressions and input evidence audited	EXCLUDED_FROM_ACTIVE_RELEASE
A036	scripts/current/06_clinical/sources/HCC_ICI_project/04_scripts/phase15b_public_replication/03_analyze_public_replication.R	Inherited module protocol/helper/input closure not demonstrated	UNRESOLVED_EXECUTION_CONTRACT	NOT_FULLY_RESOLVED	NO_COMPLETE_PUBLIC_CONTRACT	Candidate retained for review but excluded from ACTIVE_CURRENT; source expressions and input evidence audited	EXCLUDED_FROM_ACTIVE_RELEASE
A037	scripts/current/06_clinical/sources/HCC_ICI_project/04_scripts/phase15c_public_benchmark/01_run_phase15c_benchmark.R	Inherited module protocol/helper/input closure not demonstrated	UNRESOLVED_EXECUTION_CONTRACT	NOT_FULLY_RESOLVED	NO_COMPLETE_PUBLIC_CONTRACT	Candidate retained for review but excluded from ACTIVE_CURRENT; source expressions and input evidence audited	EXCLUDED_FROM_ACTIVE_RELEASE
A038	scripts/current/06_clinical/sources/HCC_ICI_project/04_scripts/phase19/03_phase19b_response_blind_scoring.R	Inherited module protocol/helper/input closure not demonstrated	UNRESOLVED_EXECUTION_CONTRACT	NOT_FULLY_RESOLVED	NO_COMPLETE_PUBLIC_CONTRACT	Candidate retained for review but excluded from ACTIVE_CURRENT; source expressions and input evidence audited	EXCLUDED_FROM_ACTIVE_RELEASE
A039	scripts/current/06_clinical/sources/HCC_ICI_project/04_scripts/phase19/04_phase19b_freeze_response_blind_tables.py	Inherited module protocol/helper/input closure not demonstrated	UNRESOLVED_EXECUTION_CONTRACT	NOT_FULLY_RESOLVED	NO_COMPLETE_PUBLIC_CONTRACT	Candidate retained for review but excluded from ACTIVE_CURRENT; source expressions and input evidence audited	EXCLUDED_FROM_ACTIVE_RELEASE
A040	scripts/current/06_clinical/sources/HCC_ICI_project/04_scripts/phase19/05_phase19b_outcome_analysis.R	Inherited module protocol/helper/input closure not demonstrated	UNRESOLVED_EXECUTION_CONTRACT	NOT_FULLY_RESOLVED	NO_COMPLETE_PUBLIC_CONTRACT	Candidate retained for review but excluded from ACTIVE_CURRENT; source expressions and input evidence audited	EXCLUDED_FROM_ACTIVE_RELEASE
A041	scripts/current/02_state/sources/HCC_ICI_project/04_scripts/phase2/07_functional_program_GSE206325.R	Inherited module protocol/helper/input closure not demonstrated	UNRESOLVED_EXECUTION_CONTRACT	NOT_FULLY_RESOLVED	NO_COMPLETE_PUBLIC_CONTRACT	Candidate retained for review but excluded from ACTIVE_CURRENT; source expressions and input evidence audited	EXCLUDED_FROM_ACTIVE_RELEASE
A042	scripts/current/04_clonotype/sources/HCC_ICI_project/04_scripts/phase3/03_independent_scrna_sctcr_clone_state.R	Inherited module protocol/helper/input closure not demonstrated	UNRESOLVED_EXECUTION_CONTRACT	NOT_FULLY_RESOLVED	NO_COMPLETE_PUBLIC_CONTRACT	Candidate retained for review but excluded from ACTIVE_CURRENT; source expressions and input evidence audited	EXCLUDED_FROM_ACTIVE_RELEASE
A043	scripts/current/04_clonotype/sources/HCC_ICI_project/04_scripts/phase_temporal/01_gse235863_baseline_future_clone_fate.R	Inherited module protocol/helper/input closure not demonstrated	UNRESOLVED_EXECUTION_CONTRACT	NOT_FULLY_RESOLVED	NO_COMPLETE_PUBLIC_CONTRACT	Candidate retained for review but excluded from ACTIVE_CURRENT; source expressions and input evidence audited	EXCLUDED_FROM_ACTIVE_RELEASE
A044	scripts/current/06_clinical/sources/HCC_ICI_project/04_scripts/pretreatment_clinical_translation/01_gse104580_tace_falsification.R	Inherited module protocol/helper/input closure not demonstrated	UNRESOLVED_EXECUTION_CONTRACT	NOT_FULLY_RESOLVED	NO_COMPLETE_PUBLIC_CONTRACT	Candidate retained for review but excluded from ACTIVE_CURRENT; source expressions and input evidence audited	EXCLUDED_FROM_ACTIVE_RELEASE
A045	scripts/current/05_spatial/sources/HCC_ICI_project/04_scripts/spatial_specificity_rescue/01_spatial_specificity_rescue.R	Inherited module protocol/helper/input closure not demonstrated	UNRESOLVED_EXECUTION_CONTRACT	NOT_FULLY_RESOLVED	NO_COMPLETE_PUBLIC_CONTRACT	Candidate retained for review but excluded from ACTIVE_CURRENT; source expressions and input evidence audited	EXCLUDED_FROM_ACTIVE_RELEASE
A046	scripts/current/02_state/sources/PTPN22_AF35_COUPLING_ARCHITECTURE_v1/scripts/01_source_audit.py	Private authorization copy (content never distributed)	NONCOMPUTATIONAL_PROVENANCE	NO_AFTER_PACKAGING_CHANGE	docs/RC2_PACKAGING_BOUNDARY.md	Copy operation and authorization-only hash-list entry removed; computational protocol locks retained	REMOVED_DEPENDENCY
A047	scripts/current/02_state/sources/PTPN22_AF35_COUPLING_ARCHITECTURE_v1/scripts/05_run_analysis.py	Inherited module protocol/helper/input closure not demonstrated	UNRESOLVED_EXECUTION_CONTRACT	NOT_FULLY_RESOLVED	NO_COMPLETE_PUBLIC_CONTRACT	Candidate retained for review but excluded from ACTIVE_CURRENT; source expressions and input evidence audited	EXCLUDED_FROM_ACTIVE_RELEASE
A048	scripts/current/02_state/sources/PTPN22_AF35_COUPLING_ARCHITECTURE_v1/scripts/coupling_math.py	Inherited module protocol/helper/input closure not demonstrated	UNRESOLVED_EXECUTION_CONTRACT	NOT_FULLY_RESOLVED	NO_COMPLETE_PUBLIC_CONTRACT	Candidate retained for review but excluded from ACTIVE_CURRENT; source expressions and input evidence audited	EXCLUDED_FROM_ACTIVE_RELEASE
A049	scripts/current/07_perturbation/sources/PTPN22_AF35_PROGRAM_PERTURBATION_PROJECTION_v1/scripts/04_projection.py	Inherited module protocol/helper/input closure not demonstrated	UNRESOLVED_EXECUTION_CONTRACT	NOT_FULLY_RESOLVED	NO_COMPLETE_PUBLIC_CONTRACT	Candidate retained for review but excluded from ACTIVE_CURRENT; source expressions and input evidence audited	EXCLUDED_FROM_ACTIVE_RELEASE
A050	scripts/current/07_perturbation/sources/PTPN22_AF35_PROGRAM_PERTURBATION_PROJECTION_v1/scripts/common.py	Inherited module protocol/helper/input closure not demonstrated	UNRESOLVED_EXECUTION_CONTRACT	NOT_FULLY_RESOLVED	NO_COMPLETE_PUBLIC_CONTRACT	Candidate retained for review but excluded from ACTIVE_CURRENT; source expressions and input evidence audited	EXCLUDED_FROM_ACTIVE_RELEASE
A051	scripts/current/07_perturbation/sources/PTPN22_HUMAN_GENETIC_ACTIVATION_Phase0_v1/scripts/02_build_phase0_audits.py	Inherited module protocol/helper/input closure not demonstrated	UNRESOLVED_EXECUTION_CONTRACT	NOT_FULLY_RESOLVED	NO_COMPLETE_PUBLIC_CONTRACT	Candidate retained for review but excluded from ACTIVE_CURRENT; source expressions and input evidence audited	EXCLUDED_FROM_ACTIVE_RELEASE
A052	scripts/current/07_perturbation/sources/PTPN22_HUMAN_GENETIC_ACTIVATION_Phase1_v1/scripts/02_execute_fixed_analysis.py	Inherited module protocol/helper/input closure not demonstrated	UNRESOLVED_EXECUTION_CONTRACT	NOT_FULLY_RESOLVED	NO_COMPLETE_PUBLIC_CONTRACT	Candidate retained for review but excluded from ACTIVE_CURRENT; source expressions and input evidence audited	EXCLUDED_FROM_ACTIVE_RELEASE
A053	scripts/current/07_perturbation/sources/PTPN22_HUMAN_GENETIC_ACTIVATION_Phase1_v1/scripts/03_independent_numeric_qa.py	Inherited module protocol/helper/input closure not demonstrated	UNRESOLVED_EXECUTION_CONTRACT	NOT_FULLY_RESOLVED	NO_COMPLETE_PUBLIC_CONTRACT	Candidate retained for review but excluded from ACTIVE_CURRENT; source expressions and input evidence audited	EXCLUDED_FROM_ACTIVE_RELEASE
A054	scripts/current/02_state/sources/PTPN22_STATE_AXIS_SPECIFICITY_v1/scripts/00_reuse_sources.py	Private authorization copy (content never distributed)	NONCOMPUTATIONAL_PROVENANCE	NO_AFTER_PACKAGING_CHANGE	docs/RC2_PACKAGING_BOUNDARY.md	Copy operation and authorization-only hash-list entry removed; computational protocol locks retained	REMOVED_DEPENDENCY
A055	scripts/current/02_state/sources/PTPN22_STATE_AXIS_SPECIFICITY_v1/scripts/02_analyze.py	Inherited module protocol/helper/input closure not demonstrated	UNRESOLVED_EXECUTION_CONTRACT	NOT_FULLY_RESOLVED	NO_COMPLETE_PUBLIC_CONTRACT	Candidate retained for review but excluded from ACTIVE_CURRENT; source expressions and input evidence audited	EXCLUDED_FROM_ACTIVE_RELEASE
A056	scripts/current/02_state/sources/PTPN22_STATE_AXIS_SPECIFICITY_v1/scripts/coupling_math.py	Inherited module protocol/helper/input closure not demonstrated	UNRESOLVED_EXECUTION_CONTRACT	NOT_FULLY_RESOLVED	NO_COMPLETE_PUBLIC_CONTRACT	Candidate retained for review but excluded from ACTIVE_CURRENT; source expressions and input evidence audited	EXCLUDED_FROM_ACTIVE_RELEASE
A057	scripts/current/05_spatial/sources/WU_AF35_DC_CD8_SPATIAL_TOPOLOGY_v1/scripts/00_feasibility_freeze.py	Private authorization copy (content never distributed)	NONCOMPUTATIONAL_PROVENANCE	NO_AFTER_PACKAGING_CHANGE	docs/RC2_PACKAGING_BOUNDARY.md	Copy operation and authorization-only hash-list entry removed; computational protocol locks retained	REMOVED_DEPENDENCY
A058	scripts/current/05_spatial/sources/WU_AF35_DC_CD8_SPATIAL_TOPOLOGY_v1/scripts/01_topology.py	Inherited module protocol/helper/input closure not demonstrated	UNRESOLVED_EXECUTION_CONTRACT	NOT_FULLY_RESOLVED	NO_COMPLETE_PUBLIC_CONTRACT	Candidate retained for review but excluded from ACTIVE_CURRENT; source expressions and input evidence audited	EXCLUDED_FROM_ACTIVE_RELEASE
A059	scripts/current/05_spatial/sources/WU_AF35_DC_CD8_SPATIAL_TOPOLOGY_v1/scripts/common.py	Inherited module protocol/helper/input closure not demonstrated	UNRESOLVED_EXECUTION_CONTRACT	NOT_FULLY_RESOLVED	NO_COMPLETE_PUBLIC_CONTRACT	Candidate retained for review but excluded from ACTIVE_CURRENT; source expressions and input evidence audited	EXCLUDED_FROM_ACTIVE_RELEASE
