analysis_id	script	current_dynamic_behavior	frozen_input_identity	frozen_input_sha256	public_input_source	resolution	status
A011	scripts/current/06_clinical/sources/AF35_COMPONENT_ABLATION_ASSOCIATION_ROBUSTNESS_v1/01_freeze.py	L18: assert not (OUT / 'FREEZE_LOCK.json').exists(), 'Already frozen; do not overwrite' | L19: files = [p for p in ROOT.rglob('*') if p.is_file() and OUT not in p.parents] | L31: ROOT/'HCC_ICI_LATEST_PROJECT_CHECKPOINT.md', | L34: sources += list((P/'05_results/tables/phase17b_af35_portability').glob('*.tsv')) | L35: sources += list((P/'05_results/phase17b_af35_portability').glob('*.md'))	release/DERIVED_INPUT_LEDGER.tsv; analysis_id=A011	See ledger; blank only where identity unresolved	data/SOURCE_DATA_MANIFEST.tsv	EXCLUDED_FROM_ACTIVE_RELEASE until exact module contract is verified; directory scans not silently treated as deterministic; Recursive inventory detected; protected-file inventory is not by itself computational input selection; Existence checks may be guards or fallback logic; keyword hits alone do not classify scientific input choice	UNRESOLVED_NOT_ACTIVE
A012	scripts/current/06_clinical/sources/AF35_COMPONENT_ABLATION_ASSOCIATION_ROBUSTNESS_v1/05_analyze.py	No wildcard found; module-relative workspace and dynamic variables still require explicit binding	release/DERIVED_INPUT_LEDGER.tsv; analysis_id=A012	See ledger; blank only where identity unresolved	data/SOURCE_DATA_MANIFEST.tsv	EXCLUDED_FROM_ACTIVE_RELEASE until exact module contract is verified; directory scans not silently treated as deterministic; 	UNRESOLVED_NOT_ACTIVE
A013	scripts/current/03_AF35_measurement/sources/AF35_FUNCTIONAL_ROLE_STATE_ARCHITECTURE_v1/scripts/00_initialize.py	L29: if not (OUT/'QA/INITIALIZATION_LOCK.json').exists():	release/DERIVED_INPUT_LEDGER.tsv; analysis_id=A013	See ledger; blank only where identity unresolved	data/SOURCE_DATA_MANIFEST.tsv	EXCLUDED_FROM_ACTIVE_RELEASE until exact module contract is verified; directory scans not silently treated as deterministic; Recursive inventory detected; protected-file inventory is not by itself computational input selection; Existence checks may be guards or fallback logic; keyword hits alone do not classify scientific input choice	UNRESOLVED_NOT_ACTIVE
A014	scripts/current/03_AF35_measurement/sources/AF35_FUNCTIONAL_ROLE_STATE_ARCHITECTURE_v1/scripts/03_molecular_and_state.py	L88: f.js('QA/MOLECULAR_STATE_COMPLETION_LOCK.json',dict(utc=f.now(),outcome_loaded=False,patients=9,cells=58872,released_states=20,raw_extraction_two_methods_agree=True,hashes={p.name:	release/DERIVED_INPUT_LEDGER.tsv; analysis_id=A014	See ledger; blank only where identity unresolved	data/SOURCE_DATA_MANIFEST.tsv	EXCLUDED_FROM_ACTIVE_RELEASE until exact module contract is verified; directory scans not silently treated as deterministic; OUT.glob completion manifests are output inventories; not counted as proven dynamic input selectors	UNRESOLVED_NOT_ACTIVE
A015	scripts/current/07_perturbation/sources/AF35_FUNCTIONAL_ROLE_STATE_ARCHITECTURE_v1/scripts/04_recover_frozen_perturbation.py	No wildcard found; module-relative workspace and dynamic variables still require explicit binding	release/DERIVED_INPUT_LEDGER.tsv; analysis_id=A015	See ledger; blank only where identity unresolved	data/SOURCE_DATA_MANIFEST.tsv	EXCLUDED_FROM_ACTIVE_RELEASE until exact module contract is verified; directory scans not silently treated as deterministic; 	UNRESOLVED_NOT_ACTIVE
A016	scripts/current/04_clonotype/sources/AF35_LONGITUDINAL_CLONAL_STATE_DYNAMICS_M2_CLEANROOM_v1/scripts/03_phaseA_molecular.py	L2: assert not (F/(P+'_PATIENT_TIMEPOINT_COMPONENTS_RESPONSE_BLIND.tsv')).exists()	release/DERIVED_INPUT_LEDGER.tsv; analysis_id=A016	See ledger; blank only where identity unresolved	data/SOURCE_DATA_MANIFEST.tsv	EXCLUDED_FROM_ACTIVE_RELEASE until exact module contract is verified; directory scans not silently treated as deterministic; Existence checks may be guards or fallback logic; keyword hits alone do not classify scientific input choice	UNRESOLVED_NOT_ACTIVE
A017	scripts/current/06_clinical/sources/AF35_LONGITUDINAL_CLONAL_STATE_DYNAMICS_M2_CLEANROOM_v1/scripts/06_phaseB_clinical.py	No wildcard found; module-relative workspace and dynamic variables still require explicit binding	release/DERIVED_INPUT_LEDGER.tsv; analysis_id=A017	See ledger; blank only where identity unresolved	data/SOURCE_DATA_MANIFEST.tsv	EXCLUDED_FROM_ACTIVE_RELEASE until exact module contract is verified; directory scans not silently treated as deterministic; 	UNRESOLVED_NOT_ACTIVE
A018	scripts/current/04_clonotype/sources/AF35_LONGITUDINAL_CLONAL_STATE_DYNAMICS_M2_CLEANROOM_v1/scripts/07_phaseB_verify.R	L54: if(file.exists(file.path(cdir,'AF35_M2_SHARED_CLONE_CLINICAL.tsv'))) verify('AF35_M2_SHARED',shared,'SHARED_CLONE_MEAN_SHIFT','THETA_SHARED')	release/DERIVED_INPUT_LEDGER.tsv; analysis_id=A018	See ledger; blank only where identity unresolved	data/SOURCE_DATA_MANIFEST.tsv	EXCLUDED_FROM_ACTIVE_RELEASE until exact module contract is verified; directory scans not silently treated as deterministic; Existence checks may be guards or fallback logic; keyword hits alone do not classify scientific input choice	UNRESOLVED_NOT_ACTIVE
A019	scripts/current/04_clonotype/sources/AF35_LONGITUDINAL_CLONAL_STATE_DYNAMICS_M2_CLEANROOM_v1/scripts/common.py	No wildcard found; module-relative workspace and dynamic variables still require explicit binding	release/DERIVED_INPUT_LEDGER.tsv; analysis_id=A019	See ledger; blank only where identity unresolved	data/SOURCE_DATA_MANIFEST.tsv	EXCLUDED_FROM_ACTIVE_RELEASE until exact module contract is verified; directory scans not silently treated as deterministic; Recursive inventory detected; protected-file inventory is not by itself computational input selection	UNRESOLVED_NOT_ACTIVE
A020	scripts/current/06_clinical/sources/AF35_MATCHED_RANDOM_CLINICAL_NULL_v1/02_freeze_matched_programs.py	L9: assert not (OUT/'MATCHED_PROGRAM_FREEZE_LOCK.json').exists(), 'Already frozen'	release/DERIVED_INPUT_LEDGER.tsv; analysis_id=A020	See ledger; blank only where identity unresolved	data/SOURCE_DATA_MANIFEST.tsv	EXCLUDED_FROM_ACTIVE_RELEASE until exact module contract is verified; directory scans not silently treated as deterministic; Existence checks may be guards or fallback logic; keyword hits alone do not classify scientific input choice	UNRESOLVED_NOT_ACTIVE
A021	scripts/current/06_clinical/sources/AF35_MATCHED_RANDOM_CLINICAL_NULL_v1/03_score_and_join.R	L4: stopifnot(!file.exists(file.path(out,'AF35_MATCHED_NULL_PROGRAM_EFFECTS.tsv'))) | L11: if(!file.exists(file.path(out,'OUTCOME_JOIN_TIMESTAMP.txt'))) {	release/DERIVED_INPUT_LEDGER.tsv; analysis_id=A021	See ledger; blank only where identity unresolved	data/SOURCE_DATA_MANIFEST.tsv	EXCLUDED_FROM_ACTIVE_RELEASE until exact module contract is verified; directory scans not silently treated as deterministic; Existence checks may be guards or fallback logic; keyword hits alone do not classify scientific input choice	UNRESOLVED_NOT_ACTIVE
A022	scripts/current/06_clinical/sources/AF35_MATCHED_RANDOM_CLINICAL_NULL_v1/04_summarize_and_verify.py	No wildcard found; module-relative workspace and dynamic variables still require explicit binding	release/DERIVED_INPUT_LEDGER.tsv; analysis_id=A022	See ledger; blank only where identity unresolved	data/SOURCE_DATA_MANIFEST.tsv	EXCLUDED_FROM_ACTIVE_RELEASE until exact module contract is verified; directory scans not silently treated as deterministic; 	UNRESOLVED_NOT_ACTIVE
A023	scripts/current/03_AF35_measurement/sources/AF35_RESPONSE_BLIND_PROGRAM_COHERENCE_v1/scripts/00_initialize.py	L32: assert not (OUT/'QA/INITIALIZATION_LOCK.json').exists(),'Already initialized'	release/DERIVED_INPUT_LEDGER.tsv; analysis_id=A023	See ledger; blank only where identity unresolved	data/SOURCE_DATA_MANIFEST.tsv	EXCLUDED_FROM_ACTIVE_RELEASE until exact module contract is verified; directory scans not silently treated as deterministic; Recursive inventory detected; protected-file inventory is not by itself computational input selection; Existence checks may be guards or fallback logic; keyword hits alone do not classify scientific input choice	UNRESOLVED_NOT_ACTIVE
A024	scripts/current/03_AF35_measurement/sources/AF35_RESPONSE_BLIND_PROGRAM_COHERENCE_v1/scripts/01_freeze_and_analyze.py	L7: assert not (OUT/(P+'_FREEZE_LOCK.json')).exists(),'Existing freeze; do not overwrite' | L111: f.js('QA/PRIMARY_COMPLETION_LOCK.json',dict(utc=f.now(),scientific_pattern=pattern,outcome_labels_loaded=False,random_programs=2000,split_half_partitions=5000,python=platform.pytho	release/DERIVED_INPUT_LEDGER.tsv; analysis_id=A024	See ledger; blank only where identity unresolved	data/SOURCE_DATA_MANIFEST.tsv	EXCLUDED_FROM_ACTIVE_RELEASE until exact module contract is verified; directory scans not silently treated as deterministic; OUT.glob completion manifests are output inventories; not counted as proven dynamic input selectors; Existence checks may be guards or fallback logic; keyword hits alone do not classify scientific input choice	UNRESOLVED_NOT_ACTIVE
A025	scripts/current/06_clinical/sources/CLINICAL_ANCHOR_READOUT_DECOMPOSITION_v1/scripts/03_paired_and_firth.R	No wildcard found; module-relative workspace and dynamic variables still require explicit binding	release/DERIVED_INPUT_LEDGER.tsv; analysis_id=A025	See ledger; blank only where identity unresolved	data/SOURCE_DATA_MANIFEST.tsv	EXCLUDED_FROM_ACTIVE_RELEASE until exact module contract is verified; directory scans not silently treated as deterministic; 	UNRESOLVED_NOT_ACTIVE
A026	scripts/current/04_clonotype/sources/GSE235863_CLONE_STATE_DECOMPOSITION_v1/authority/04_scripts/phase19/02_phase19a_patient_analysis.py	No wildcard found; module-relative workspace and dynamic variables still require explicit binding	release/DERIVED_INPUT_LEDGER.tsv; analysis_id=A026	See ledger; blank only where identity unresolved	data/SOURCE_DATA_MANIFEST.tsv	EXCLUDED_FROM_ACTIVE_RELEASE until exact module contract is verified; directory scans not silently treated as deterministic; 	UNRESOLVED_NOT_ACTIVE
A027	scripts/current/04_clonotype/sources/GSE235863_CLONE_STATE_DECOMPOSITION_v1/scripts/01_authority.py	L17: if (OUT / 'PROTECTED_INPUT_BEFORE.tsv').exists(): | L52: protected |= {p for p in ROOT.rglob('*.md') if not p.is_relative_to(OUT) and | L56: protected |= {p for p in d.rglob('*') if p.is_file() and p.suffix.lower() in ['.svg','.pdf','.png','.md','.tsv','.r','.py','.json']} | L59: assert p.exists(), p	release/DERIVED_INPUT_LEDGER.tsv; analysis_id=A027	See ledger; blank only where identity unresolved	data/SOURCE_DATA_MANIFEST.tsv	EXCLUDED_FROM_ACTIVE_RELEASE until exact module contract is verified; directory scans not silently treated as deterministic; Recursive inventory detected; protected-file inventory is not by itself computational input selection; Existence checks may be guards or fallback logic; keyword hits alone do not classify scientific input choice	UNRESOLVED_NOT_ACTIVE
A028	scripts/current/04_clonotype/sources/GSE235863_CLONE_STATE_DECOMPOSITION_v1/scripts/02_analyze.py	No wildcard found; module-relative workspace and dynamic variables still require explicit binding	release/DERIVED_INPUT_LEDGER.tsv; analysis_id=A028	See ledger; blank only where identity unresolved	data/SOURCE_DATA_MANIFEST.tsv	EXCLUDED_FROM_ACTIVE_RELEASE until exact module contract is verified; directory scans not silently treated as deterministic; 	UNRESOLVED_NOT_ACTIVE
A029	scripts/current/05_spatial/sources/HCC_FINAL_AI_REVIEW_CORRECTION_20260921_V1/audit/wu_bounded_sensitivity.R	No wildcard found; module-relative workspace and dynamic variables still require explicit binding	release/DERIVED_INPUT_LEDGER.tsv; analysis_id=A029	See ledger; blank only where identity unresolved	data/SOURCE_DATA_MANIFEST.tsv	EXCLUDED_FROM_ACTIVE_RELEASE until exact module contract is verified; directory scans not silently treated as deterministic; 	UNRESOLVED_NOT_ACTIVE
A030	scripts/current/05_spatial/sources/HCC_ICI_BIOLOGICAL_RESOLUTION_BR1_v1/scripts/module_d_prepare_spatial_tables.R	"L43: list.files(sample_dir, pattern = ""^data_SME_.*_identity\\.csv$"", full.names = TRUE),"	release/DERIVED_INPUT_LEDGER.tsv; analysis_id=A030	See ledger; blank only where identity unresolved	data/SOURCE_DATA_MANIFEST.tsv	EXCLUDED_FROM_ACTIVE_RELEASE until exact module contract is verified; directory scans not silently treated as deterministic; COMPUTATIONAL_WILDCARD: sample_dir data_SME identity CSV enumeration needs exact file manifest	UNRESOLVED_NOT_ACTIVE
A031	scripts/current/01_anchor/sources/HCC_ICI_project/04_scripts/04_target_ranking/01_finalize_target_evidence.R	No wildcard found; module-relative workspace and dynamic variables still require explicit binding	release/DERIVED_INPUT_LEDGER.tsv; analysis_id=A031	See ledger; blank only where identity unresolved	data/SOURCE_DATA_MANIFEST.tsv	EXCLUDED_FROM_ACTIVE_RELEASE until exact module contract is verified; directory scans not silently treated as deterministic; 	UNRESOLVED_NOT_ACTIVE
A032	scripts/current/02_state/sources/HCC_ICI_project/04_scripts/config.R	No wildcard found; module-relative workspace and dynamic variables still require explicit binding	release/DERIVED_INPUT_LEDGER.tsv; analysis_id=A032	See ledger; blank only where identity unresolved	data/SOURCE_DATA_MANIFEST.tsv	EXCLUDED_FROM_ACTIVE_RELEASE until exact module contract is verified; directory scans not silently treated as deterministic; 	UNRESOLVED_NOT_ACTIVE
A033	scripts/current/04_clonotype/sources/HCC_ICI_project/04_scripts/final_harmonization/01_meta_clone_compartment.R	L26: stopifnot(all(file.exists(required_files)))	release/DERIVED_INPUT_LEDGER.tsv; analysis_id=A033	See ledger; blank only where identity unresolved	data/SOURCE_DATA_MANIFEST.tsv	EXCLUDED_FROM_ACTIVE_RELEASE until exact module contract is verified; directory scans not silently treated as deterministic; Existence checks may be guards or fallback logic; keyword hits alone do not classify scientific input choice	UNRESOLVED_NOT_ACTIVE
A034	scripts/current/06_clinical/sources/HCC_ICI_project/04_scripts/phase15b_public_replication/01_prepare_response_blind_inputs.R	L24: stopifnot(all(file.exists(c(gse302_path, gse287_path, map_path, af_path, comparator_path))))	release/DERIVED_INPUT_LEDGER.tsv; analysis_id=A034	See ledger; blank only where identity unresolved	data/SOURCE_DATA_MANIFEST.tsv	EXCLUDED_FROM_ACTIVE_RELEASE until exact module contract is verified; directory scans not silently treated as deterministic; Existence checks may be guards or fallback logic; keyword hits alone do not classify scientific input choice	UNRESOLVED_NOT_ACTIVE
A035	scripts/current/06_clinical/sources/HCC_ICI_project/04_scripts/phase15b_public_replication/02_lock_outcome_maps.R	L18: stopifnot(all(file.exists(c(g302_rds, g287_rds, g302_source, g287_source))))	release/DERIVED_INPUT_LEDGER.tsv; analysis_id=A035	See ledger; blank only where identity unresolved	data/SOURCE_DATA_MANIFEST.tsv	EXCLUDED_FROM_ACTIVE_RELEASE until exact module contract is verified; directory scans not silently treated as deterministic; Existence checks may be guards or fallback logic; keyword hits alone do not classify scientific input choice	UNRESOLVED_NOT_ACTIVE
A036	scripts/current/06_clinical/sources/HCC_ICI_project/04_scripts/phase15b_public_replication/03_analyze_public_replication.R	L22: stopifnot(all(file.exists(c(g302_rds, g287_rds, g302_map_path, g287_map_path, contract_path))))	release/DERIVED_INPUT_LEDGER.tsv; analysis_id=A036	See ledger; blank only where identity unresolved	data/SOURCE_DATA_MANIFEST.tsv	EXCLUDED_FROM_ACTIVE_RELEASE until exact module contract is verified; directory scans not silently treated as deterministic; Existence checks may be guards or fallback logic; keyword hits alone do not classify scientific input choice	UNRESOLVED_NOT_ACTIVE
A037	scripts/current/06_clinical/sources/HCC_ICI_project/04_scripts/phase15c_public_benchmark/01_run_phase15c_benchmark.R	L27: stopifnot(all(file.exists(c(contract_path, erp_rds_path, g302_rds_path, erp_map_path, g302_map_path, axis_path, comparator_path))))	release/DERIVED_INPUT_LEDGER.tsv; analysis_id=A037	See ledger; blank only where identity unresolved	data/SOURCE_DATA_MANIFEST.tsv	EXCLUDED_FROM_ACTIVE_RELEASE until exact module contract is verified; directory scans not silently treated as deterministic; Existence checks may be guards or fallback logic; keyword hits alone do not classify scientific input choice	UNRESOLVED_NOT_ACTIVE
A038	scripts/current/06_clinical/sources/HCC_ICI_project/04_scripts/phase19/03_phase19b_response_blind_scoring.R	L44: stopifnot(all(file.exists(input_paths)))	release/DERIVED_INPUT_LEDGER.tsv; analysis_id=A038	See ledger; blank only where identity unresolved	data/SOURCE_DATA_MANIFEST.tsv	EXCLUDED_FROM_ACTIVE_RELEASE until exact module contract is verified; directory scans not silently treated as deterministic; Existence checks may be guards or fallback logic; keyword hits alone do not classify scientific input choice	UNRESOLVED_NOT_ACTIVE
A039	scripts/current/06_clinical/sources/HCC_ICI_project/04_scripts/phase19/04_phase19b_freeze_response_blind_tables.py	No wildcard found; module-relative workspace and dynamic variables still require explicit binding	release/DERIVED_INPUT_LEDGER.tsv; analysis_id=A039	See ledger; blank only where identity unresolved	data/SOURCE_DATA_MANIFEST.tsv	EXCLUDED_FROM_ACTIVE_RELEASE until exact module contract is verified; directory scans not silently treated as deterministic; 	UNRESOLVED_NOT_ACTIVE
A040	scripts/current/06_clinical/sources/HCC_ICI_project/04_scripts/phase19/05_phase19b_outcome_analysis.R	No wildcard found; module-relative workspace and dynamic variables still require explicit binding	release/DERIVED_INPUT_LEDGER.tsv; analysis_id=A040	See ledger; blank only where identity unresolved	data/SOURCE_DATA_MANIFEST.tsv	EXCLUDED_FROM_ACTIVE_RELEASE until exact module contract is verified; directory scans not silently treated as deterministic; 	UNRESOLVED_NOT_ACTIVE
A041	scripts/current/02_state/sources/HCC_ICI_project/04_scripts/phase2/07_functional_program_GSE206325.R	No wildcard found; module-relative workspace and dynamic variables still require explicit binding	release/DERIVED_INPUT_LEDGER.tsv; analysis_id=A041	See ledger; blank only where identity unresolved	data/SOURCE_DATA_MANIFEST.tsv	EXCLUDED_FROM_ACTIVE_RELEASE until exact module contract is verified; directory scans not silently treated as deterministic; 	UNRESOLVED_NOT_ACTIVE
A042	scripts/current/04_clonotype/sources/HCC_ICI_project/04_scripts/phase3/03_independent_scrna_sctcr_clone_state.R	L44: stopifnot(file.exists(tcr_file), file.exists(h5_file), file.exists(h5_cell_file), | L45: file.exists(h5_extract_audit_file), file.exists(h5_structure_file), | L46: file.exists(response_file), file.exists(design_file))	release/DERIVED_INPUT_LEDGER.tsv; analysis_id=A042	See ledger; blank only where identity unresolved	data/SOURCE_DATA_MANIFEST.tsv	EXCLUDED_FROM_ACTIVE_RELEASE until exact module contract is verified; directory scans not silently treated as deterministic; Existence checks may be guards or fallback logic; keyword hits alone do not classify scientific input choice	UNRESOLVED_NOT_ACTIVE
A043	scripts/current/04_clonotype/sources/HCC_ICI_project/04_scripts/phase_temporal/01_gse235863_baseline_future_clone_fate.R	L42: stopifnot(file.exists(mapping_file), file.exists(soft_file), | L43: file.exists(response_file), file.exists(design_file))	release/DERIVED_INPUT_LEDGER.tsv; analysis_id=A043	See ledger; blank only where identity unresolved	data/SOURCE_DATA_MANIFEST.tsv	EXCLUDED_FROM_ACTIVE_RELEASE until exact module contract is verified; directory scans not silently treated as deterministic; Existence checks may be guards or fallback logic; keyword hits alone do not classify scientific input choice	UNRESOLVED_NOT_ACTIVE
A044	scripts/current/06_clinical/sources/HCC_ICI_project/04_scripts/pretreatment_clinical_translation/01_gse104580_tace_falsification.R	L27: stopifnot(all(file.exists(c(matrix_path, annotation_path, map_path, axis_path, comparator_path, contract_path))))	release/DERIVED_INPUT_LEDGER.tsv; analysis_id=A044	See ledger; blank only where identity unresolved	data/SOURCE_DATA_MANIFEST.tsv	EXCLUDED_FROM_ACTIVE_RELEASE until exact module contract is verified; directory scans not silently treated as deterministic; Existence checks may be guards or fallback logic; keyword hits alone do not classify scientific input choice	UNRESOLVED_NOT_ACTIVE
A045	scripts/current/05_spatial/sources/HCC_ICI_project/04_scripts/spatial_specificity_rescue/01_spatial_specificity_rescue.R	L38: stopifnot(file.exists(path)) | L404: stopifnot(file.exists(cache_file))	release/DERIVED_INPUT_LEDGER.tsv; analysis_id=A045	See ledger; blank only where identity unresolved	data/SOURCE_DATA_MANIFEST.tsv	EXCLUDED_FROM_ACTIVE_RELEASE until exact module contract is verified; directory scans not silently treated as deterministic; Existence checks may be guards or fallback logic; keyword hits alone do not classify scientific input choice	UNRESOLVED_NOT_ACTIVE
A046	scripts/current/02_state/sources/PTPN22_AF35_COUPLING_ARCHITECTURE_v1/scripts/01_source_audit.py	L14: for rel in ['HCC_ICI_LATEST_PROJECT_CHECKPOINT.md','HCC_ICI_checkpoint_2026-08-31_v20_CONTROLLED_MANUSCRIPT_CONSTRUCTION_FREEZE.md','HCC_ICI_MAIN_FIGURE_SOURCE_LEDGER.tsv','HCC_ICI | L57: for p in (BASE/branch).rglob('*'):	release/DERIVED_INPUT_LEDGER.tsv; analysis_id=A046	See ledger; blank only where identity unresolved	data/SOURCE_DATA_MANIFEST.tsv	EXCLUDED_FROM_ACTIVE_RELEASE until exact module contract is verified; directory scans not silently treated as deterministic; Recursive inventory detected; protected-file inventory is not by itself computational input selection	UNRESOLVED_NOT_ACTIVE
