file	sha256	original_artifact	original_sha256	rows	retained_columns	removed_columns	identifier_action	local_path_cells_sanitized	numerical_values_unchanged	redistribution_basis
derived_data/publication_source_tables/S04_03.tsv	88948509703a0411c09cea6fb649c647c4f984058ac2080c36118b1b9f499c0c	HCC_FINAL_AI_REVIEW_CORRECTION_20260921_V1/supplement/tables/S04_03.tsv	88948509703a0411c09cea6fb649c647c4f984058ac2080c36118b1b9f499c0c	72	state | program | n_patient_states | n_genes | genes_used | beta_per_1SD_PTPN22 | ci_lower | ci_upper | p_value | state_order | program_order | ci_excludes_zero | semantic_label | source_status		Identifier columns removed where present	0	YES	Author manuscript-facing derived summaries/projections; no raw expression matrix or clonotype sequences; original source terms unchanged
derived_data/publication_source_tables/S04_04.tsv	7d676631ace7cdb5cb41aecabce322fb9ec379a08977d1b47609dd02d01f28fe	HCC_FINAL_AI_REVIEW_CORRECTION_20260921_V1/supplement/tables/S04_04.tsv	7d676631ace7cdb5cb41aecabce322fb9ec379a08977d1b47609dd02d01f28fe	192	dataset | state | state_order | marker | marker_order | marker_block | n_patients | total_cells | patient_median_mean_log1p_cp10k | patient_q25_mean_log1p_cp10k | patient_q75_mean_log1p_cp10k | patient_median_positive_fraction | patient_q25_positive_fraction | patient_q75_positive_fraction | patient_median_pseudobulk_log2_cpm | aggregation | response_used_in_summary | biological_unit | within_marker_z		Identifier columns removed where present	0	YES	Author manuscript-facing derived summaries/projections; no raw expression matrix or clonotype sequences; original source terms unchanged
derived_data/publication_source_tables/S04_05.tsv	0bacb255224420a2b67526706ba5d97e479c5d203069adb851fd7ddf1d3782b7	HCC_FINAL_AI_REVIEW_CORRECTION_20260921_V1/supplement/tables/S04_05.tsv	0bacb255224420a2b67526706ba5d97e479c5d203069adb851fd7ddf1d3782b7	4	program | n_frozen | n_present | coverage | frozen_genes | missing_genes		Identifier columns removed where present	0	YES	Author manuscript-facing derived summaries/projections; no raw expression matrix or clonotype sequences; original source terms unchanged
derived_data/publication_source_tables/S05_01.tsv	3d9f69e9eb478e7d45f8d77705454f3f2ab845b64b7db40b172f571dcf7fe2ba	HCC_FINAL_AI_REVIEW_CORRECTION_20260921_V1/supplement/tables/S05_01.tsv	3d9f69e9eb478e7d45f8d77705454f3f2ab845b64b7db40b172f571dcf7fe2ba	20	model_id | analysis_family | method | status | k | included_cohorts | omitted_cohort | pooled_hedges_g | standard_error | ci_low | ci_high | p_value | tau2 | Q | Q_df | Q_p | I2_percent | hksj_scale | prediction_interval_low | prediction_interval_high | positive_cohorts | negative_cohorts | reason		Identifier columns removed where present	0	YES	Author manuscript-facing derived summaries/projections; no raw expression matrix or clonotype sequences; original source terms unchanged
derived_data/publication_source_tables/S05_02.tsv	1de87511d871048adf22c5a51d8ccae7a127966270d8fee9bcb02836ff496f04	HCC_FINAL_AI_REVIEW_CORRECTION_20260921_V1/supplement/tables/S05_02.tsv	1de87511d871048adf22c5a51d8ccae7a127966270d8fee9bcb02836ff496f04	3	dataset | contrast_id | condition | target_condition | target_gene | donor_n | targeted_cell_n | guide_n | on_target_effect_size_author_scale | on_target_significant | guide_correlation_all | guide_correlation_all_p | downstream_de_gene_n | n_up_genes | n_down_genes | inference_unit | source_object_etag		Identifier columns removed where present	0	YES	Author manuscript-facing derived summaries/projections; no raw expression matrix or clonotype sequences; original source terms unchanged
derived_data/publication_source_tables/S05_03.tsv	df732e05ed546703ef90a70c13a27143d1668978572f912ab2934f340a6f4efe	HCC_FINAL_AI_REVIEW_CORRECTION_20260921_V1/supplement/tables/S05_03.tsv	df732e05ed546703ef90a70c13a27143d1668978572f912ab2934f340a6f4efe	1	program | D_TT_minus_CC | exact_P | BH_q | CC_n | TT_n | CC_mean_delta | TT_mean_delta | CC_median_delta | TT_median_delta | CC_min_delta | CC_max_delta | TT_min_delta | TT_max_delta | CC_positive_delta_n | TT_positive_delta_n | pooled_delta_SD | Hedges_g | J | bootstrap_D_CI95_low | bootstrap_D_CI95_high | bootstrap_g_CI95_low | bootstrap_g_CI95_high | bootstrap_n | bootstrap_g_invalid_n | bootstrap_seed | permutation_extreme_n | permutation_total_n		Identifier columns removed where present	0	YES	Author manuscript-facing derived summaries/projections; no raw expression matrix or clonotype sequences; original source terms unchanged
derived_data/publication_source_tables/S05_04.tsv	374beec5c563318c31cdd222e82ea0ac26fe8a69a8e375f1621659989f1c9316	HCC_FINAL_AI_REVIEW_CORRECTION_20260921_V1/supplement/tables/S05_04.tsv	4ab325bff4f89997a577ef2e923cd538cf5f8e3665098e5c2724480c7d402797	6	source | plot_unit | analysis | cell_n | state_n | PTPN22_variance | AF35_variance | C_total | C_between | C_within | identity_error | residual_Pearson | residual_Spearman | eligibility | between_abs_gt_within | sign_total | sign_between | sign_within | geometry | between_share | within_share		Original identity removed; file/domain-scoped plot labels only	0	YES	Author manuscript-facing derived summaries/projections; no raw expression matrix or clonotype sequences; original source terms unchanged
derived_data/publication_source_tables/S05_05.tsv	2cffb8757792218cf13a30625e1e862afe0e2ac7cb5679f711a9e0cf9b8da2e8	HCC_FINAL_AI_REVIEW_CORRECTION_20260921_V1/supplement/tables/S05_05.tsv	3702296e74f808d729c0f96597f541dd6b0a5a2de726081607dcd0baee5642db	12	source | plot_unit | analysis | cell_n | state_n | PTPN22_variance | AF35_variance | C_total | C_between | C_within | identity_error | residual_Pearson | residual_Spearman | eligibility | between_abs_gt_within | sign_total | sign_between | sign_within | geometry | between_share | within_share | design_rank | PTPN22_zero_fraction | detection_triggered		Original identity removed; file/domain-scoped plot labels only	0	YES	Author manuscript-facing derived summaries/projections; no raw expression matrix or clonotype sequences; original source terms unchanged
derived_data/publication_source_tables/S05_06.tsv	6d766b8cadbc172b3b4c197df6074bfe3a314eb3bc52368eb4f7fa8957ab9057	HCC_FINAL_AI_REVIEW_CORRECTION_20260921_V1/supplement/tables/S05_06.tsv	f5af9aa795236572f5fc2989b3f8681fb668738c60db02dbd4a1d1835216a732	6	source | plot_unit | analysis | cell_n | state_n | PTPN22_variance | AF35_variance | C_total | C_between | C_within | identity_error | residual_Pearson | residual_Spearman | eligibility | between_abs_gt_within | sign_total | sign_between | sign_within | geometry | between_share | within_share | original_cell_n | retained_fraction		Original identity removed; file/domain-scoped plot labels only	0	YES	Author manuscript-facing derived summaries/projections; no raw expression matrix or clonotype sequences; original source terms unchanged
derived_data/publication_source_tables/S05_07.tsv	280cdb57b09e90402e079da5419f68afd023660948d3e8c9a7d1f0ce31a735d7	HCC_FINAL_AI_REVIEW_CORRECTION_20260921_V1/supplement/tables/S05_07.tsv	280cdb57b09e90402e079da5419f68afd023660948d3e8c9a7d1f0ce31a735d7	3	system | condition | eligible_genes | AF35_genes | AF35_PROGRAM_SHIFT | mean_raw_oriented_effect | median_raw_oriented_effect | positive_gene_n | negative_gene_n | zero_gene_n | positive_fraction | negative_fraction		Identifier columns removed where present	0	YES	Author manuscript-facing derived summaries/projections; no raw expression matrix or clonotype sequences; original source terms unchanged
derived_data/publication_source_tables/S05_08.tsv	715b3bc965ee0ccfca241960bafba3c76c88141f3387f285edb1a4f30d271153	HCC_FINAL_AI_REVIEW_CORRECTION_20260921_V1/supplement/tables/S05_08.tsv	f593481a143227b17cca3a7208bed7a383b16f9cfc12fdb004d1606370f9ffa5	105	gene_rank | gene | dataset | contrast | condition | frozen_author_log_fc | direction | author_zscore | author_adjusted_p | donor_n | inference_unit | source_url | source_etag | source_type | new_endpoint_fitted		Identifier columns removed where present	0	YES	Author manuscript-facing derived summaries/projections; no raw expression matrix or clonotype sequences; original source terms unchanged
derived_data/publication_source_tables/S05_09.tsv	66f036ec4cca16bf11a059ab684cc4530b823ddc8afe87d5dfbebfc35b513080	HCC_FINAL_AI_REVIEW_CORRECTION_20260921_V1/supplement/tables/S05_09.tsv	b92b75a10398b9fed5f97d880f8c610d95fa7152fa80f1a15bcaea2ce51dc80a	6	source | plot_unit | analysis | lineage | cell_n | state_n | PTPN22_variance | AF35_variance | C_total | C_between | C_within | identity_error | residual_Pearson | residual_Spearman | eligible | reason | between_abs_gt_within | sign_total | sign_between | sign_within | geometry | C_total_CD4 | C_between_CD4 | C_within_CD4		Original identity removed; file/domain-scoped plot labels only	0	YES	Author manuscript-facing derived summaries/projections; no raw expression matrix or clonotype sequences; original source terms unchanged
derived_data/publication_source_tables/S05_10.tsv	5a687c1e11c35b655903b29b9a28ba0d86820aa27ec5103bc0fc7a7cfbcae5d2	HCC_FINAL_AI_REVIEW_CORRECTION_20260921_V1/supplement/tables/S05_10.tsv	58f7d84081d1acdc218545480013c1e292f073f3c99eadbd8ddeaa9135519b59	6	source | plot_unit | analysis | lineage | cell_n | state_n | PTPN22_variance | AF35_variance | C_total | C_between | C_within | identity_error | residual_Pearson | residual_Spearman | eligible | reason | between_abs_gt_within | sign_total | sign_between | sign_within | geometry | C_total_CD8 | C_between_CD8 | C_within_CD8		Original identity removed; file/domain-scoped plot labels only	0	YES	Author manuscript-facing derived summaries/projections; no raw expression matrix or clonotype sequences; original source terms unchanged
derived_data/publication_source_tables/S05_11.tsv	d715805c4e44f396b043a9ae4358bcf09abba760718151e5e73dd018627454b4	HCC_FINAL_AI_REVIEW_CORRECTION_20260921_V1/supplement/tables/S05_11.tsv	d715805c4e44f396b043a9ae4358bcf09abba760718151e5e73dd018627454b4	20	state_order | released_state | order_rule | lineage		Identifier columns removed where present	0	YES	Author manuscript-facing derived summaries/projections; no raw expression matrix or clonotype sequences; original source terms unchanged
derived_data/publication_source_tables/S05_12.tsv	82862b32c618029457c5896a809f310b8b92121953149f6eb6992649f962f154	HCC_FINAL_AI_REVIEW_CORRECTION_20260921_V1/supplement/tables/S05_12.tsv	1d4cd25b122fbb293a07cc450185a9c1290d579f4ed4eb40713e698745ac5823	132	source | plot_unit | analysis | lineage | cell_n | state_n | PTPN22_variance | AF35_variance | C_total | C_between | C_within | identity_error | residual_Pearson | residual_Spearman | eligible | reason | between_abs_gt_within | sign_total | sign_between | sign_within | geometry | removed_state | removed_cell_n		Original identity removed; file/domain-scoped plot labels only	0	YES	Author manuscript-facing derived summaries/projections; no raw expression matrix or clonotype sequences; original source terms unchanged
derived_data/publication_source_tables/S05_13.tsv	111f8f2bf943357b24e276a33bf455a3c684b61f7ee195d2b411801ecbb6af1e	HCC_FINAL_AI_REVIEW_CORRECTION_20260921_V1/supplement/tables/S05_13.tsv	111f8f2bf943357b24e276a33bf455a3c684b61f7ee195d2b411801ecbb6af1e	22	source | analysis | lineage | eligible_patient_n | positive_total_n | between_dominant_n | opposing_n | median_C_total | median_C_between | median_C_within | median_abs_between | median_abs_within | median_abs_total | median_abs_between_over_within | median_residual_Pearson | median_residual_Spearman | median_abs_residual_Pearson | core_gate | final_gate | lineage_gate | LOPO_stable | removed_state | removal_type | full_median_C_total | signed_change_C_total | absolute_change_C_total | relative_change_C_total | full_median_C_between | signed_change_C_between | absolute_change_C_between | relative_change_C_between | full_median_C_within | signed_change_C_within | absolute_change_C_within | relative_change_C_within | full_median_abs_between | signed_change_abs_between | absolute_change_abs_between | relative_change_abs_between | matched_reference_patient_n | matched_reference_median_abs_between | between_reduction_fraction | architecture_changed | HIGH_INFLUENCE_STATE | catastrophic_collapse		Identifier columns removed where present	0	YES	Author manuscript-facing derived summaries/projections; no raw expression matrix or clonotype sequences; original source terms unchanged
derived_data/publication_source_tables/S05_14.tsv	66b2ac8a5736eda7d02ac9040f5651b7b685ee66f364f7b8fdbc7e964903a62b	HCC_FINAL_AI_REVIEW_CORRECTION_20260921_V1/supplement/tables/S05_14.tsv	938c69d96bd30310b94064f823e986e545787bbcd1c4b8a7d21d6b03669c31c0	120	source | plot_unit | state | lineage | cell_n | cell_fraction | mean_Xz | mean_Yz | signed_contribution | absolute_contribution | full_patient_eligible		Original identity removed; file/domain-scoped plot labels only	0	YES	Author manuscript-facing derived summaries/projections; no raw expression matrix or clonotype sequences; original source terms unchanged
derived_data/publication_source_tables/S05_15.tsv	70f0aacf270f8e1f751fc236981e8e629483a2b339ad6075cb92fd5b0c11e7c7	HCC_FINAL_AI_REVIEW_CORRECTION_20260921_V1/supplement/tables/S05_15.tsv	70f0aacf270f8e1f751fc236981e8e629483a2b339ad6075cb92fd5b0c11e7c7	20	source | state | lineage | eligible_patient_n | observed_patient_n | median_signed_contribution | median_absolute_contribution | min_signed_contribution | max_signed_contribution | min_absolute_contribution | max_absolute_contribution | positive_n | negative_n | zero_n		Identifier columns removed where present	0	YES	Author manuscript-facing derived summaries/projections; no raw expression matrix or clonotype sequences; original source terms unchanged
derived_data/publication_source_tables/S05_16.tsv	47018b349f00e3fed939125e3d9e9e29a5b3acd035c1aedea6cc23b86a4867f5	HCC_FINAL_AI_REVIEW_CORRECTION_20260921_V1/supplement/tables/S05_16.tsv	bca4c81bfecae142ae8a55c40fbe8368762f8543fcd14c17d3b59028d52f91c9	12	source | plot_unit | analysis | lineage | cell_n | state_n | PTPN22_variance | AF35_variance | design_rank | C_total | C_between | C_within | identity_error | residual_Pearson | residual_Spearman | eligible | reason | between_abs_gt_within | sign_total | sign_between | sign_within | geometry		Original identity removed; file/domain-scoped plot labels only	0	YES	Author manuscript-facing derived summaries/projections; no raw expression matrix or clonotype sequences; original source terms unchanged
derived_data/publication_source_tables/S06_01.tsv	c21800a66b784d2841e31bf5f84e4f7072f6319f7e4f6b4445091a448043a441	HCC_FINAL_AI_REVIEW_CORRECTION_20260921_V1/supplement/tables/S06_01.tsv	c21800a66b784d2841e31bf5f84e4f7072f6319f7e4f6b4445091a448043a441	105	cohort | context | omitted_gene | retained_gene_n | spearman_rho_vs_canonical | median_normalized_rank_displacement | max_normalized_rank_displacement | canonical_raw_score_sd | loo_raw_score_sd | raw_score_sd_change | outcome_loaded		Identifier columns removed where present	0	YES	Author manuscript-facing derived summaries/projections; no raw expression matrix or clonotype sequences; original source terms unchanged
derived_data/publication_source_tables/S06_02.tsv	1e0714ee7a88ef9eecd64db88650ddc77b215b211eefec527c263cdaca8d2087	HCC_FINAL_AI_REVIEW_CORRECTION_20260921_V1/supplement/tables/S06_02.tsv	1e0714ee7a88ef9eecd64db88650ddc77b215b211eefec527c263cdaca8d2087	9	cohort | dropout_fraction | removed_gene_n | draw_n | rng_seed | rho_median | rho_5th_percentile | rho_minimum | median_rank_displacement_median | max_rank_displacement_95th_percentile | max_rank_displacement_worst | outcome_loaded		Identifier columns removed where present	0	YES	Author manuscript-facing derived summaries/projections; no raw expression matrix or clonotype sequences; original source terms unchanged
derived_data/publication_source_tables/S06_03.tsv	501a5189e5f7513c0dc1b0e90be01bf290b3bc798260b5dc71aead3bee25e67c	HCC_FINAL_AI_REVIEW_CORRECTION_20260921_V1/supplement/tables/S06_03.tsv	501a5189e5f7513c0dc1b0e90be01bf290b3bc798260b5dc71aead3bee25e67c	9	cohort | dropout_fraction | removed_gene_n | removed_genes_in_order | ordering_rule | spearman_rho_vs_canonical | median_normalized_rank_displacement | max_normalized_rank_displacement | raw_score_sd_change | outcome_loaded		Identifier columns removed where present	0	YES	Author manuscript-facing derived summaries/projections; no raw expression matrix or clonotype sequences; original source terms unchanged
derived_data/publication_source_tables/S06_04.tsv	df5487be52f020825a3944665f8272fec82fd9397b4a84ba2834caf06d6d0e63	HCC_FINAL_AI_REVIEW_CORRECTION_20260921_V1/supplement/tables/S06_04.tsv	df5487be52f020825a3944665f8272fec82fd9397b4a84ba2834caf06d6d0e63	9	cohort | retained_depth_fraction | eligibility | reason | draw_n | rng_seed | rho_median | rho_5th_percentile | rho_minimum | median_rank_displacement_median | max_rank_displacement_95th_percentile | outcome_loaded		Identifier columns removed where present	0	YES	Author manuscript-facing derived summaries/projections; no raw expression matrix or clonotype sequences; original source terms unchanged
derived_data/publication_source_tables/S06_05.tsv	38dc61ca9eed6be00ceda3257185448b0e656fc053f10291b53f20e8bbd73cf2	HCC_FINAL_AI_REVIEW_CORRECTION_20260921_V1/supplement/tables/S06_05.tsv	38dc61ca9eed6be00ceda3257185448b0e656fc053f10291b53f20e8bbd73cf2	3	cohort | gene_n | canonical_vs_rank_score_spearman_rho | median_normalized_rank_displacement | max_normalized_rank_displacement | rank_score_role | canonical_score_status | outcome_loaded		Identifier columns removed where present	0	YES	Author manuscript-facing derived summaries/projections; no raw expression matrix or clonotype sequences; original source terms unchanged
derived_data/publication_source_tables/S06_06.tsv	a451d51c17fbafd7b9b36151e684eb0e877ac7888f7eab1924c375e823abd817	HCC_FINAL_AI_REVIEW_CORRECTION_20260921_V1/supplement/tables/S06_06.tsv	a451d51c17fbafd7b9b36151e684eb0e877ac7888f7eab1924c375e823abd817	105	cohort | gene | gene_z_vs_canonical_spearman_rho | covariance_share_of_canonical_raw_variance | loo_spearman_rho | loo_rho_loss_from_one | loo_max_normalized_rank_displacement | catastrophic_dependency | catastrophic_rule | canonical_gene_removed | outcome_loaded		Identifier columns removed where present	0	YES	Author manuscript-facing derived summaries/projections; no raw expression matrix or clonotype sequences; original source terms unchanged
derived_data/publication_source_tables/S06_07.tsv	7cdc9aff19713c3d5d3bbfd6df5edba360d69a55dfc8d219041140c67e9998db	HCC_FINAL_AI_REVIEW_CORRECTION_20260921_V1/supplement/tables/S06_07.tsv	7cdc9aff19713c3d5d3bbfd6df5edba360d69a55dfc8d219041140c67e9998db	10	metric | AF35_observed | reference_n | reference_median | reference_q025 | reference_q975 | n_ge_AF35 | empirical_position_fraction_strictly_below | interpretation		Identifier columns removed where present	0	YES	Author manuscript-facing derived summaries/projections; no raw expression matrix or clonotype sequences; original source terms unchanged
derived_data/publication_source_tables/S06_08.tsv	0690c5a105b8352680ee595fc9469d220a4d673998fd211a82665dbcf1e7235d	HCC_FINAL_AI_REVIEW_CORRECTION_20260921_V1/supplement/tables/S06_08.tsv	0690c5a105b8352680ee595fc9469d220a4d673998fd211a82665dbcf1e7235d	2000	program_id | ERP117672__median_pairwise | ERP117672__PC1_variance | ERP117672__median_gene_to_rest | GSE302495__median_pairwise | GSE302495__PC1_variance | GSE302495__median_gene_to_rest | covariance_pearson | covariance_spearman | connectivity_pearson | connectivity_spearman		Identifier columns removed where present	0	YES	Author manuscript-facing derived summaries/projections; no raw expression matrix or clonotype sequences; original source terms unchanged
derived_data/publication_source_tables/S07_01.tsv	ab90a01e0c7538207e0c16c2b6d1fa999d09b58bd30cbcc79a8c71fa467b253d	HCC_FINAL_AI_REVIEW_CORRECTION_20260921_V1/supplement/tables/S07_01.tsv	65ba9b3ca1717ac58636940e41c317d37d410e129e31973a67d7b8ed68b13c6c	10	analysis | row_type | plot_unit | response_group | context_positive | context_reference | n_positive_cells | n_reference_cells | mean_positive_af35 | mean_reference_af35 | patient_effect_positive_minus_reference | score_projection | biological_replicate | eligible_patient_n | mean_patient_effect | median_patient_effect | bootstrap_ci_low | bootstrap_ci_high | bootstrap_draws | positive_patient_n | negative_patient_n | zero_patient_n | positive_direction_fraction | loo_mean_min | loo_mean_max | loo_positive_direction_fraction	eligible_patients	Original identity removed; file/domain-scoped plot labels only	0	YES	Author manuscript-facing derived summaries/projections; no raw expression matrix or clonotype sequences; original source terms unchanged
derived_data/publication_source_tables/S07_02.tsv	25c2030b269aa2f463a154b30977d31a951eb283a608b712bcd957806fc9ccb8	HCC_FINAL_AI_REVIEW_CORRECTION_20260921_V1/supplement/tables/S07_02.tsv	9979e07056ce12061c39b4b8415a6b28bad2c2935e123e0def2ccc8979276485	8	analysis | row_type | plot_unit | response_group | context_positive | context_reference | n_positive_cells | n_reference_cells | mean_positive_af35 | mean_reference_af35 | patient_effect_positive_minus_reference | score_projection | biological_replicate | eligible_patient_n | mean_patient_effect | median_patient_effect | bootstrap_ci_low | bootstrap_ci_high | bootstrap_draws | positive_patient_n | negative_patient_n | zero_patient_n | positive_direction_fraction | loo_mean_min | loo_mean_max | loo_positive_direction_fraction	eligible_patients	Original identity removed; file/domain-scoped plot labels only	0	YES	Author manuscript-facing derived summaries/projections; no raw expression matrix or clonotype sequences; original source terms unchanged
derived_data/publication_source_tables/S07_03.tsv	7d8859053a33087f118889655e7c0abb0669ea02df68a091d5ba6ee34f81f6bb	HCC_FINAL_AI_REVIEW_CORRECTION_20260921_V1/supplement/tables/S07_03.tsv	3d7f20e4195408e7cf7edd0d75d4fccf6e31d7ac6f69601aca581c9a9b08b2fe	8	analysis | row_type | plot_unit | response_group | context_positive | context_reference | n_positive_cells | n_reference_cells | mean_positive_af35 | mean_reference_af35 | patient_effect_positive_minus_reference | score_projection | biological_replicate | eligible_patient_n | mean_patient_effect | median_patient_effect | bootstrap_ci_low | bootstrap_ci_high | bootstrap_draws | positive_patient_n | negative_patient_n | zero_patient_n | positive_direction_fraction | loo_mean_min | loo_mean_max | loo_positive_direction_fraction	eligible_patients	Original identity removed; file/domain-scoped plot labels only	0	YES	Author manuscript-facing derived summaries/projections; no raw expression matrix or clonotype sequences; original source terms unchanged
derived_data/publication_source_tables/S07_04.tsv	e322b0d40a4efdbf8808eaa4eaadecb1305e642f1ce2bddcaea352ba2ed9a50f	HCC_FINAL_AI_REVIEW_CORRECTION_20260921_V1/supplement/tables/S07_04.tsv	6ca38251c768fe891b887b500b3d3b91b68f23475f8377fa81fd95fdb993a65d	68	plot_unit | author_clone_n | cell_n	cdr3_pair_aa	Original identity removed; file/domain-scoped plot labels only	0	YES	Author manuscript-facing derived summaries/projections; no raw expression matrix or clonotype sequences; original source terms unchanged
derived_data/publication_source_tables/S07_05.tsv	130951c1be77fca78f93c976c89e40c48e828df9a0a1a271f4bdfa5a1f276349	HCC_FINAL_AI_REVIEW_CORRECTION_20260921_V1/supplement/tables/S07_05.tsv	2ad64428d414c97ed3fe13c334228576eeb207408bb41500bfbaceb2e93e1c7b	28	identity | context | score | estimate | eligible_patient_n | mean_patient_effect | median_patient_effect | bootstrap_ci_low | bootstrap_ci_high | bootstrap_draws | positive_patient_n | negative_patient_n | zero_patient_n | positive_direction_fraction | loo_mean_min | loo_mean_max | loo_positive_direction_fraction | seed | biological_replicate | within_patient_weighting | raw_mean | adjusted_mean | attenuation_difference | adjusted_to_raw_ratio | attenuation_fraction	eligible_patients	Identifier columns removed where present	0	YES	Author manuscript-facing derived summaries/projections; no raw expression matrix or clonotype sequences; original source terms unchanged
