script	branch_or_block	purpose	used_in_final_analysis	scientifically_relevant	action	status
scripts/current/06_clinical/sources/AF35_COMPONENT_ABLATION_ASSOCIATION_ROBUSTNESS_v1/01_freeze.py	No keyword-identified historical block; this is not proof of full branch closure	Retained source branch audit	REQUIRES_SOURCE_RESULT_CLOSURE	YES	DISABLE_IN_PUBLIC_ENTRYPOINT	EXCLUDED_FROM_ACTIVE_RELEASE
scripts/current/06_clinical/sources/AF35_COMPONENT_ABLATION_ASSOCIATION_ROBUSTNESS_v1/05_analyze.py	No keyword-identified historical block; this is not proof of full branch closure	Retained source branch audit	REQUIRES_SOURCE_RESULT_CLOSURE	YES	DISABLE_IN_PUBLIC_ENTRYPOINT	EXCLUDED_FROM_ACTIVE_RELEASE
scripts/current/03_AF35_measurement/sources/AF35_FUNCTIONAL_ROLE_STATE_ARCHITECTURE_v1/scripts/00_initialize.py	No keyword-identified historical block; this is not proof of full branch closure	Retained source branch audit	REQUIRES_SOURCE_RESULT_CLOSURE	YES	DISABLE_IN_PUBLIC_ENTRYPOINT	EXCLUDED_FROM_ACTIVE_RELEASE
scripts/current/03_AF35_measurement/sources/AF35_FUNCTIONAL_ROLE_STATE_ARCHITECTURE_v1/scripts/03_molecular_and_state.py	No keyword-identified historical block; this is not proof of full branch closure	Retained source branch audit	REQUIRES_SOURCE_RESULT_CLOSURE	YES	DISABLE_IN_PUBLIC_ENTRYPOINT	EXCLUDED_FROM_ACTIVE_RELEASE
scripts/current/07_perturbation/sources/AF35_FUNCTIONAL_ROLE_STATE_ARCHITECTURE_v1/scripts/04_recover_frozen_perturbation.py	No keyword-identified historical block; this is not proof of full branch closure	Retained source branch audit	REQUIRES_SOURCE_RESULT_CLOSURE	YES	DISABLE_IN_PUBLIC_ENTRYPOINT	EXCLUDED_FROM_ACTIVE_RELEASE
scripts/current/04_clonotype/sources/AF35_LONGITUDINAL_CLONAL_STATE_DYNAMICS_M2_CLEANROOM_v1/scripts/03_phaseA_molecular.py	No keyword-identified historical block; this is not proof of full branch closure	Retained source branch audit	REQUIRES_SOURCE_RESULT_CLOSURE	YES	DISABLE_IN_PUBLIC_ENTRYPOINT	EXCLUDED_FROM_ACTIVE_RELEASE
scripts/current/06_clinical/sources/AF35_LONGITUDINAL_CLONAL_STATE_DYNAMICS_M2_CLEANROOM_v1/scripts/06_phaseB_clinical.py	No keyword-identified historical block; this is not proof of full branch closure	Retained source branch audit	REQUIRES_SOURCE_RESULT_CLOSURE	YES	DISABLE_IN_PUBLIC_ENTRYPOINT	EXCLUDED_FROM_ACTIVE_RELEASE
scripts/current/04_clonotype/sources/AF35_LONGITUDINAL_CLONAL_STATE_DYNAMICS_M2_CLEANROOM_v1/scripts/07_phaseB_verify.R	No keyword-identified historical block; this is not proof of full branch closure	Retained source branch audit	REQUIRES_SOURCE_RESULT_CLOSURE	YES	DISABLE_IN_PUBLIC_ENTRYPOINT	EXCLUDED_FROM_ACTIVE_RELEASE
scripts/current/04_clonotype/sources/AF35_LONGITUDINAL_CLONAL_STATE_DYNAMICS_M2_CLEANROOM_v1/scripts/common.py	No keyword-identified historical block; this is not proof of full branch closure	Retained source branch audit	REQUIRES_SOURCE_RESULT_CLOSURE	YES	DISABLE_IN_PUBLIC_ENTRYPOINT	EXCLUDED_FROM_ACTIVE_RELEASE
scripts/current/06_clinical/sources/AF35_MATCHED_RANDOM_CLINICAL_NULL_v1/02_freeze_matched_programs.py	No keyword-identified historical block; this is not proof of full branch closure	Retained source branch audit	REQUIRES_SOURCE_RESULT_CLOSURE	YES	DISABLE_IN_PUBLIC_ENTRYPOINT	EXCLUDED_FROM_ACTIVE_RELEASE
scripts/current/06_clinical/sources/AF35_MATCHED_RANDOM_CLINICAL_NULL_v1/03_score_and_join.R	No keyword-identified historical block; this is not proof of full branch closure	Retained source branch audit	REQUIRES_SOURCE_RESULT_CLOSURE	YES	DISABLE_IN_PUBLIC_ENTRYPOINT	EXCLUDED_FROM_ACTIVE_RELEASE
scripts/current/06_clinical/sources/AF35_MATCHED_RANDOM_CLINICAL_NULL_v1/04_summarize_and_verify.py	No keyword-identified historical block; this is not proof of full branch closure	Retained source branch audit	REQUIRES_SOURCE_RESULT_CLOSURE	YES	DISABLE_IN_PUBLIC_ENTRYPOINT	EXCLUDED_FROM_ACTIVE_RELEASE
scripts/current/03_AF35_measurement/sources/AF35_RESPONSE_BLIND_PROGRAM_COHERENCE_v1/scripts/00_initialize.py	No keyword-identified historical block; this is not proof of full branch closure	Retained source branch audit	REQUIRES_SOURCE_RESULT_CLOSURE	YES	DISABLE_IN_PUBLIC_ENTRYPOINT	EXCLUDED_FROM_ACTIVE_RELEASE
scripts/current/03_AF35_measurement/sources/AF35_RESPONSE_BLIND_PROGRAM_COHERENCE_v1/scripts/01_freeze_and_analyze.py	No keyword-identified historical block; this is not proof of full branch closure	Retained source branch audit	REQUIRES_SOURCE_RESULT_CLOSURE	YES	DISABLE_IN_PUBLIC_ENTRYPOINT	EXCLUDED_FROM_ACTIVE_RELEASE
scripts/current/06_clinical/sources/CLINICAL_ANCHOR_READOUT_DECOMPOSITION_v1/scripts/03_paired_and_firth.R	No keyword-identified historical block; this is not proof of full branch closure	Retained source branch audit	REQUIRES_SOURCE_RESULT_CLOSURE	YES	DISABLE_IN_PUBLIC_ENTRYPOINT	EXCLUDED_FROM_ACTIVE_RELEASE
scripts/current/04_clonotype/sources/GSE235863_CLONE_STATE_DECOMPOSITION_v1/authority/04_scripts/phase19/02_phase19a_patient_analysis.py	"L374: sensitivities.append(sensitivity_row(""TEMPORAL"", ""FUTURE_ABUNDANCE_CHANGE_PERSISTENT_ONLY"", ""FROZEN_V6_OUTCOME_TABLE_SPEARMAN"", abundance_rho, rng, ""Cannot resc"	Retained source branch audit	PARTIAL_OR_NOT_DEMONSTRATED	YES	DISABLE_IN_PUBLIC_ENTRYPOINT	EXCLUDED_FROM_ACTIVE_RELEASE
scripts/current/04_clonotype/sources/GSE235863_CLONE_STATE_DECOMPOSITION_v1/scripts/01_authority.py	No keyword-identified historical block; this is not proof of full branch closure	Retained source branch audit	REQUIRES_SOURCE_RESULT_CLOSURE	YES	DISABLE_IN_PUBLIC_ENTRYPOINT	EXCLUDED_FROM_ACTIVE_RELEASE
scripts/current/04_clonotype/sources/GSE235863_CLONE_STATE_DECOMPOSITION_v1/scripts/02_analyze.py	No keyword-identified historical block; this is not proof of full branch closure	Retained source branch audit	REQUIRES_SOURCE_RESULT_CLOSURE	YES	DISABLE_IN_PUBLIC_ENTRYPOINT	EXCLUDED_FROM_ACTIVE_RELEASE
scripts/current/05_spatial/sources/HCC_FINAL_AI_REVIEW_CORRECTION_20260921_V1/audit/wu_bounded_sensitivity.R	L5: src <- 'HCC_ICI_project/04_scripts/spatial_specificity_rescue/01_spatial_specificity_rescue.R' | L17: frozen<-fread('HCC_ICI_project/05_results/tables/spatial_specificity_rescue/PTPN22_CONDITIONAL_SPATIAL_EFFECTS.tsv')[cohort=='Wu_Zenodo_19123188' & record_type=	Retained source branch audit	PARTIAL_OR_NOT_DEMONSTRATED	YES	DISABLE_IN_PUBLIC_ENTRYPOINT	EXCLUDED_FROM_ACTIVE_RELEASE
scripts/current/05_spatial/sources/HCC_ICI_BIOLOGICAL_RESOLUTION_BR1_v1/scripts/module_d_prepare_spatial_tables.R	"L198: crossmodal_path <- file.path(project, ""05_results"", ""tables"", ""spatial_specificity_rescue"", ""PTPN22_ST_CODEX_CROSSMODAL_CONCORDANCE.tsv"")"	Retained source branch audit	PARTIAL_OR_NOT_DEMONSTRATED	YES	DISABLE_IN_PUBLIC_ENTRYPOINT	EXCLUDED_FROM_ACTIVE_RELEASE
scripts/current/01_anchor/sources/HCC_ICI_project/04_scripts/04_target_ranking/01_finalize_target_evidence.R	No keyword-identified historical block; this is not proof of full branch closure	Retained source branch audit	REQUIRES_SOURCE_RESULT_CLOSURE	YES	DISABLE_IN_PUBLIC_ENTRYPOINT	EXCLUDED_FROM_ACTIVE_RELEASE
scripts/current/02_state/sources/HCC_ICI_project/04_scripts/config.R	No keyword-identified historical block; this is not proof of full branch closure	Retained source branch audit	REQUIRES_SOURCE_RESULT_CLOSURE	YES	DISABLE_IN_PUBLIC_ENTRYPOINT	EXCLUDED_FROM_ACTIVE_RELEASE
scripts/current/04_clonotype/sources/HCC_ICI_project/04_scripts/final_harmonization/01_meta_clone_compartment.R	"L154: fit_meta(effects, ""LEGACY_ALL_SIX_CONTEXTS_REML_HKSJ"", ""MODALITY_SENSITIVITY"", ""REML_HKSJ"", | L155: reason = ""Legacy context-inclusive sensitivity; not the manuscript primary estimand""), | L156: fit_meta(effects, ""LEGACY_ALL_SIX_CONTEXTS_DL"", ""METHOD_SENSITIVITY"", ""DL_NORMAL"", | L157: reason = ""DL comparison for the legacy mixed-context set""),"	Retained source branch audit	PARTIAL_OR_NOT_DEMONSTRATED	YES	DISABLE_IN_PUBLIC_ENTRYPOINT	EXCLUDED_FROM_ACTIVE_RELEASE
scripts/current/06_clinical/sources/HCC_ICI_project/04_scripts/phase15b_public_replication/01_prepare_response_blind_inputs.R	"L20: gse287_path <- file.path(raw_dir, ""GSE287319_Dep_n12_readcount.gct.gz"") | L28: GSE287319 = ""db1371ce97c4023f99c256e521bf1c595427209c3fb8ad074c46566fd15ed112"", | L35: GSE287319 = digest(gse287_path, algo = ""sha256"", file = TRUE), | L174: # GSE287319: no outcome file is opened above or in this block. | L206: dataset = ""GSE287319"", source_file = basename(gse287_path), source_sha256 = actual_hashes[[""GSE287319""]], | L214: g287_rds <- file.path(processed_dir, ""GSE287319_RESPONSE_BLIND_MATRIX_AND_SCORES.rds"") | L217: fwrite(g287_scores, file.path(processed_dir, ""GSE287319_RESPONSE_BLIND_PATIENT_SCORES.tsv""), sep = ""\t"", quote = TRUE) | L218: write_coverage(""GSE287319"", g287_af, g287_broad, TRUE, file.path(processed_dir, ""GSE287319_RESPONSE_BLIND_GENE_COVERAGE.tsv"")) | L221: ""# GSE287319 response-blind input audit"", """", | L224: sprintf(""- Source SHA-256: `%s`"", actual_hashes[[""GSE287319""]]), | L232: ""Decision: `GSE287319_RESPONSE_BLIND_INPUT_PASS`."" | L234: writeLines(g287_audit, file.path(result_dir, ""GSE287319_RESPONSE_BLIND_INPUT_AUDIT.md""), useBytes = TRUE) | L242: cat(""GSE287319_SOURCE_ROWS="", nrow(g287), ""\n"", sep = """") | L243: cat(""GSE287319_BASELINE_PATIENTS="", length(g287_pre), ""\n"", sep = """") | L244: cat(""GSE287319_AF35="", g287_af$present_n, ""/"", g287_af$variable_n, ""\n"", sep = """") | L245: cat(""GSE287319_BROAD="", g287_broad$present_n, ""/"", g287_broad$variable_n, ""\n"", sep = """") | L246: cat(""GSE287319_RDS_SHA256="", g287_rds_hash, ""\n"", sep = """")"	Retained source branch audit	PARTIAL_OR_NOT_DEMONSTRATED	YES	DISABLE_IN_PUBLIC_ENTRYPOINT	EXCLUDED_FROM_ACTIVE_RELEASE
scripts/current/06_clinical/sources/HCC_ICI_project/04_scripts/phase15b_public_replication/02_lock_outcome_maps.R	"L15: g287_rds <- file.path(phase15b_processed, ""GSE287319_RESPONSE_BLIND_MATRIX_AND_SCORES.rds"") | L17: g287_source <- file.path(phase15a_dir, ""HCC_PHASE15A_GSE287319_PUBLIC_ENDPOINT_CROSSWALK.tsv"") | L60: g287_out <- file.path(metadata_dir, ""GSE287319_PATIENT_ENDPOINT_MAP.tsv"") | L67: cat(""GSE287319_MAP_ROWS="", nrow(g287_map), ""\n"", sep = """") | L68: cat(""GSE287319_ELIGIBLE_REDUCTION_PROGRESSION="", sum(g287_map$endpoint_eligible), ""/"", sum(g287_map$endpoint_group == ""REDUCTION""), ""/"", sum(g287_map$endpoint_g | L69: cat(""GSE287319_MAP_SHA256="", digest(g287_out, algo = ""sha256"", file = TRUE), ""\n"", sep = """")"	Retained source branch audit	PARTIAL_OR_NOT_DEMONSTRATED	YES	DISABLE_IN_PUBLIC_ENTRYPOINT	EXCLUDED_FROM_ACTIVE_RELEASE
scripts/current/06_clinical/sources/HCC_ICI_project/04_scripts/phase15b_public_replication/03_analyze_public_replication.R	"L18: g287_rds <- file.path(processed_dir, ""GSE287319_RESPONSE_BLIND_MATRIX_AND_SCORES.rds"") | L20: g287_map_path <- file.path(metadata_dir, ""GSE287319_PATIENT_ENDPOINT_MAP.tsv"") | L211: ""No clinical covariate, cutoff, feature selection, cross-cohort normalization or rescue model was added."" | L242: ""No post-gate rescue analysis was performed."" | L246: # GSE287319 exploratory compatibility. | L267: residual_effect_summary(g287$PTPN22_expression, g287$broad_immune_score, g287$endpoint_group, g287$patient_id, ""GSE287319"", ""NONIRRADIATED_LESION_DYNAMICS"", spe | L269: residual_effect_summary(g287$AF35_score, g287$broad_immune_score, g287$endpoint_group, g287$patient_id, ""GSE287319"", ""NONIRRADIATED_LESION_DYNAMICS"", spec$metri | L271: effect_summary(g287[[spec$metric]], g287$endpoint_group, g287$patient_id, ""GSE287319"", ""NONIRRADIATED_LESION_DYNAMICS"", spec$metric, ""REDUCTION"", ""PROGRESSION"", | L276: fwrite(g287_effects, file.path(table_dir, ""GSE287319_EXPLORATORY_CONTINUOUS_EFFECTS.tsv""), sep = ""\t"", quote = TRUE, na = ""NA"") | L277: fwrite(g287_loo, file.path(table_dir, ""GSE287319_EXPLORATORY_LOO_AUDIT.tsv""), sep = ""\t"", quote = TRUE, na = ""NA"") | L282: ""GSE287319_EXPLORATORY_CONCORDANT"" | L284: ""GSE287319_EXPLORATORY_DISCORDANT"" | L286: ""GSE287319_EXPLORATORY_INCONCLUSIVE"" | L289: ""# GSE287319 exploratory compatibility report"", """", | L298: ""Residual effects are retained in the continuous-effects table as response-blind context. No Firth model, multivariable model, survival analysis, subgrouping, p | L300: writeLines(g287_report, file.path(result_dir, ""GSE287319_EXPLORATORY_COMPATIBILITY_REPORT.md""), useBytes = TRUE) | L308: cat(""GSE287319_DECISION="", g287_decision, ""\n"", sep = """") | L309: cat(""GSE287319_PTPN22_G="", g287_p$hedges_g, "" P="", g287_p$permutation_p_two_sided, "" LOO_POS="", g287_p$loo_positive_fraction, ""\n"", sep = """") | L310: cat(""GSE287319_AF35_G="", g287_a$hedges_g, "" P="", g287_a$permutation_p_two_sided, "" LOO_POS="", g287_a$loo_positive_fraction, ""\n"", sep = """")"	Retained source branch audit	PARTIAL_OR_NOT_DEMONSTRATED	YES	DISABLE_IN_PUBLIC_ENTRYPOINT	EXCLUDED_FROM_ACTIVE_RELEASE
scripts/current/06_clinical/sources/HCC_ICI_project/04_scripts/phase15c_public_benchmark/01_run_phase15c_benchmark.R	No keyword-identified historical block; this is not proof of full branch closure	Retained source branch audit	REQUIRES_SOURCE_RESULT_CLOSURE	YES	DISABLE_IN_PUBLIC_ENTRYPOINT	EXCLUDED_FROM_ACTIVE_RELEASE
scripts/current/06_clinical/sources/HCC_ICI_project/04_scripts/phase19/03_phase19b_response_blind_scoring.R	No keyword-identified historical block; this is not proof of full branch closure	Retained source branch audit	REQUIRES_SOURCE_RESULT_CLOSURE	YES	DISABLE_IN_PUBLIC_ENTRYPOINT	EXCLUDED_FROM_ACTIVE_RELEASE
scripts/current/06_clinical/sources/HCC_ICI_project/04_scripts/phase19/04_phase19b_freeze_response_blind_tables.py	No keyword-identified historical block; this is not proof of full branch closure	Retained source branch audit	REQUIRES_SOURCE_RESULT_CLOSURE	YES	DISABLE_IN_PUBLIC_ENTRYPOINT	EXCLUDED_FROM_ACTIVE_RELEASE
scripts/current/06_clinical/sources/HCC_ICI_project/04_scripts/phase19/05_phase19b_outcome_analysis.R	No keyword-identified historical block; this is not proof of full branch closure	Retained source branch audit	REQUIRES_SOURCE_RESULT_CLOSURE	YES	DISABLE_IN_PUBLIC_ENTRYPOINT	EXCLUDED_FROM_ACTIVE_RELEASE
scripts/current/02_state/sources/HCC_ICI_project/04_scripts/phase2/07_functional_program_GSE206325.R	No keyword-identified historical block; this is not proof of full branch closure	Retained source branch audit	REQUIRES_SOURCE_RESULT_CLOSURE	YES	DISABLE_IN_PUBLIC_ENTRYPOINT	EXCLUDED_FROM_ACTIVE_RELEASE
scripts/current/04_clonotype/sources/HCC_ICI_project/04_scripts/phase3/03_independent_scrna_sctcr_clone_state.R	No keyword-identified historical block; this is not proof of full branch closure	Retained source branch audit	REQUIRES_SOURCE_RESULT_CLOSURE	YES	DISABLE_IN_PUBLIC_ENTRYPOINT	EXCLUDED_FROM_ACTIVE_RELEASE
scripts/current/04_clonotype/sources/HCC_ICI_project/04_scripts/phase_temporal/01_gse235863_baseline_future_clone_fate.R	No keyword-identified historical block; this is not proof of full branch closure	Retained source branch audit	REQUIRES_SOURCE_RESULT_CLOSURE	YES	DISABLE_IN_PUBLIC_ENTRYPOINT	EXCLUDED_FROM_ACTIVE_RELEASE
scripts/current/06_clinical/sources/HCC_ICI_project/04_scripts/pretreatment_clinical_translation/01_gse104580_tace_falsification.R	No keyword-identified historical block; this is not proof of full branch closure	Retained source branch audit	REQUIRES_SOURCE_RESULT_CLOSURE	YES	DISABLE_IN_PUBLIC_ENTRYPOINT	EXCLUDED_FROM_ACTIVE_RELEASE
scripts/current/05_spatial/sources/HCC_ICI_project/04_scripts/spatial_specificity_rescue/01_spatial_specificity_rescue.R	"L16: metadata_dir <- file.path(project_dir, ""01_metadata"", ""spatial_specificity_rescue"") | L17: result_dir <- file.path(project_dir, ""05_results"", ""spatial_specificity_rescue"") | L18: table_dir <- file.path(project_dir, ""05_results"", ""tables"", ""spatial_specificity_rescue"") | L19: log_dir <- file.path(project_dir, ""09_logs"", ""spatial_specificity_rescue"") | L23: log_file <- file.path(log_dir, ""01_spatial_specificity_rescue.log"") | L33: cat(""SPATIAL SPECIFICITY RESCUE\n"") | L45: input_audit_file <- file.path(result_dir, ""SPATIAL_RESCUE_INPUT_AUDIT.md"") | L854: comparator = ""total T-cell fraction cannot count toward rescue support"" | L862: rescue_gate <- ""SPATIAL_SPECIFICITY_UPGRADED"" | L864: rescue_gate <- ""SPATIAL_SPECIFICITY_NOT_ADDITIONAL"" | L866: rescue_gate <- ""SPATIAL_SPECIFICITY_PARTIAL_CONFIRMED"" | L871: rescue_gate = rescue_gate, | L874: fwrite(gate_inputs, file.path(table_dir, ""PTPN22_SPATIAL_RESCUE_GATE_INPUTS.tsv""), sep = ""\t"", na = ""NA"") | L895: fwrite(falsification, file.path(table_dir, ""PTPN22_SPATIAL_RESCUE_FALSIFICATION_INPUTS.tsv""), sep = ""\t"", na = ""NA"") | L899: cat(""\nRESCUE_GATE: "", rescue_gate, ""\n"", sep = """") | L906: file.path(table_dir, ""PTPN22_SPATIAL_RESCUE_GATE_INPUTS.tsv""), | L907: file.path(table_dir, ""PTPN22_SPATIAL_RESCUE_FALSIFICATION_INPUTS.tsv"")"	Retained source branch audit	PARTIAL_OR_NOT_DEMONSTRATED	YES	DISABLE_IN_PUBLIC_ENTRYPOINT	EXCLUDED_FROM_ACTIVE_RELEASE
scripts/current/02_state/sources/PTPN22_AF35_COUPLING_ARCHITECTURE_v1/scripts/01_source_audit.py	No keyword-identified historical block; this is not proof of full branch closure	Retained source branch audit	REQUIRES_SOURCE_RESULT_CLOSURE	YES	DISABLE_IN_PUBLIC_ENTRYPOINT	EXCLUDED_FROM_ACTIVE_RELEASE
scripts/current/02_state/sources/PTPN22_AF35_COUPLING_ARCHITECTURE_v1/scripts/05_run_analysis.py	No keyword-identified historical block; this is not proof of full branch closure	Retained source branch audit	REQUIRES_SOURCE_RESULT_CLOSURE	YES	DISABLE_IN_PUBLIC_ENTRYPOINT	EXCLUDED_FROM_ACTIVE_RELEASE
scripts/current/02_state/sources/PTPN22_AF35_COUPLING_ARCHITECTURE_v1/scripts/coupling_math.py	No keyword-identified historical block; this is not proof of full branch closure	Retained source branch audit	REQUIRES_SOURCE_RESULT_CLOSURE	YES	DISABLE_IN_PUBLIC_ENTRYPOINT	EXCLUDED_FROM_ACTIVE_RELEASE
scripts/current/07_perturbation/sources/PTPN22_AF35_PROGRAM_PERTURBATION_PROJECTION_v1/scripts/04_projection.py	No keyword-identified historical block; this is not proof of full branch closure	Retained source branch audit	REQUIRES_SOURCE_RESULT_CLOSURE	YES	DISABLE_IN_PUBLIC_ENTRYPOINT	EXCLUDED_FROM_ACTIVE_RELEASE
scripts/current/07_perturbation/sources/PTPN22_AF35_PROGRAM_PERTURBATION_PROJECTION_v1/scripts/common.py	No keyword-identified historical block; this is not proof of full branch closure	Retained source branch audit	REQUIRES_SOURCE_RESULT_CLOSURE	YES	DISABLE_IN_PUBLIC_ENTRYPOINT	EXCLUDED_FROM_ACTIVE_RELEASE
scripts/current/07_perturbation/sources/PTPN22_HUMAN_GENETIC_ACTIVATION_Phase0_v1/scripts/02_build_phase0_audits.py	No keyword-identified historical block; this is not proof of full branch closure	Retained source branch audit	REQUIRES_SOURCE_RESULT_CLOSURE	YES	DISABLE_IN_PUBLIC_ENTRYPOINT	EXCLUDED_FROM_ACTIVE_RELEASE
scripts/current/07_perturbation/sources/PTPN22_HUMAN_GENETIC_ACTIVATION_Phase1_v1/scripts/02_execute_fixed_analysis.py	No keyword-identified historical block; this is not proof of full branch closure	Retained source branch audit	REQUIRES_SOURCE_RESULT_CLOSURE	YES	DISABLE_IN_PUBLIC_ENTRYPOINT	EXCLUDED_FROM_ACTIVE_RELEASE
scripts/current/07_perturbation/sources/PTPN22_HUMAN_GENETIC_ACTIVATION_Phase1_v1/scripts/03_independent_numeric_qa.py	No keyword-identified historical block; this is not proof of full branch closure	Retained source branch audit	REQUIRES_SOURCE_RESULT_CLOSURE	YES	DISABLE_IN_PUBLIC_ENTRYPOINT	EXCLUDED_FROM_ACTIVE_RELEASE
scripts/current/02_state/sources/PTPN22_STATE_AXIS_SPECIFICITY_v1/scripts/00_reuse_sources.py	No keyword-identified historical block; this is not proof of full branch closure	Retained source branch audit	REQUIRES_SOURCE_RESULT_CLOSURE	YES	DISABLE_IN_PUBLIC_ENTRYPOINT	EXCLUDED_FROM_ACTIVE_RELEASE
scripts/current/02_state/sources/PTPN22_STATE_AXIS_SPECIFICITY_v1/scripts/02_analyze.py	No keyword-identified historical block; this is not proof of full branch closure	Retained source branch audit	REQUIRES_SOURCE_RESULT_CLOSURE	YES	DISABLE_IN_PUBLIC_ENTRYPOINT	EXCLUDED_FROM_ACTIVE_RELEASE
scripts/current/02_state/sources/PTPN22_STATE_AXIS_SPECIFICITY_v1/scripts/coupling_math.py	No keyword-identified historical block; this is not proof of full branch closure	Retained source branch audit	REQUIRES_SOURCE_RESULT_CLOSURE	YES	DISABLE_IN_PUBLIC_ENTRYPOINT	EXCLUDED_FROM_ACTIVE_RELEASE
scripts/current/05_spatial/sources/WU_AF35_DC_CD8_SPATIAL_TOPOLOGY_v1/scripts/00_feasibility_freeze.py	No keyword-identified historical block; this is not proof of full branch closure	Retained source branch audit	REQUIRES_SOURCE_RESULT_CLOSURE	YES	DISABLE_IN_PUBLIC_ENTRYPOINT	EXCLUDED_FROM_ACTIVE_RELEASE
scripts/current/05_spatial/sources/WU_AF35_DC_CD8_SPATIAL_TOPOLOGY_v1/scripts/01_topology.py	No keyword-identified historical block; this is not proof of full branch closure	Retained source branch audit	REQUIRES_SOURCE_RESULT_CLOSURE	YES	DISABLE_IN_PUBLIC_ENTRYPOINT	EXCLUDED_FROM_ACTIVE_RELEASE
scripts/current/05_spatial/sources/WU_AF35_DC_CD8_SPATIAL_TOPOLOGY_v1/scripts/common.py	No keyword-identified historical block; this is not proof of full branch closure	Retained source branch audit	REQUIRES_SOURCE_RESULT_CLOSURE	YES	DISABLE_IN_PUBLIC_ENTRYPOINT	EXCLUDED_FROM_ACTIVE_RELEASE
