script	status	scientific_role	dataset	figure_or_table_supported	environment	known_external_inputs	runnable_as_is	notes
scripts/current/06_clinical/sources/AF35_CLINICAL_STATE_OCCUPANCY_DECOMPOSITION_v1/scripts/03_clinical.py	HISTORICAL_SCRIPT	Pretreatment clinical association and comparator sensitivity	See family role, panel index and data/SOURCE_DATA_MANIFEST.tsv	Figure 3E-H and Figure 5; Tables S8,S11-S14	environment/Python_environment.txt	data/SOURCE_DATA_MANIFEST.tsv; historical input expressions in provenance/DIRECT_IO_CONTRACT.tsv; module freeze/protocol/helper records may be absent	NO_ARCHIVAL	RC2 packaging copy retained for transparency; not a second current entrypoint. Prefer frozen_originals for historical implementation. 
scripts/frozen_originals/06_clinical/AF35_CLINICAL_STATE_OCCUPANCY_DECOMPOSITION_v1/scripts/common.py	FROZEN_ANALYSIS_SCRIPT	Pretreatment clinical association and comparator sensitivity	See family role, panel index and data/SOURCE_DATA_MANIFEST.tsv	Figure 3E-H and Figure 5; Tables S8,S11-S14	environment/Python_environment.txt	data/SOURCE_DATA_MANIFEST.tsv; historical input expressions in provenance/DIRECT_IO_CONTRACT.tsv; module freeze/protocol/helper records may be absent	NO_ARCHIVAL	Exact sanitized rc1 source blob. Module association is documented, not a unique production-script certification.
scripts/current/06_clinical/sources/AF35_CLINICAL_STATE_OCCUPANCY_DECOMPOSITION_v1/scripts/common.py	HISTORICAL_SCRIPT	Pretreatment clinical association and comparator sensitivity	See family role, panel index and data/SOURCE_DATA_MANIFEST.tsv	Figure 3E-H and Figure 5; Tables S8,S11-S14	environment/Python_environment.txt	data/SOURCE_DATA_MANIFEST.tsv; historical input expressions in provenance/DIRECT_IO_CONTRACT.tsv; module freeze/protocol/helper records may be absent	NO_ARCHIVAL	RC2 packaging copy retained for transparency; not a second current entrypoint. Prefer frozen_originals for historical implementation. 
scripts/frozen_originals/06_clinical/AF35_CLONOTYPE_NEUTRALIZED_STATE_OCCUPANCY_v1/scripts/02_clinical.py	FROZEN_ANALYSIS_SCRIPT	Pretreatment clinical association and comparator sensitivity	See family role, panel index and data/SOURCE_DATA_MANIFEST.tsv	Figure 3E-H and Figure 5; Tables S8,S11-S14	environment/Python_environment.txt	data/SOURCE_DATA_MANIFEST.tsv; historical input expressions in provenance/DIRECT_IO_CONTRACT.tsv; module freeze/protocol/helper records may be absent	NO_ARCHIVAL	Exact sanitized rc1 source blob. Module association is documented, not a unique production-script certification.
scripts/current/06_clinical/sources/AF35_CLONOTYPE_NEUTRALIZED_STATE_OCCUPANCY_v1/scripts/02_clinical.py	HISTORICAL_SCRIPT	Pretreatment clinical association and comparator sensitivity	See family role, panel index and data/SOURCE_DATA_MANIFEST.tsv	Figure 3E-H and Figure 5; Tables S8,S11-S14	environment/Python_environment.txt	data/SOURCE_DATA_MANIFEST.tsv; historical input expressions in provenance/DIRECT_IO_CONTRACT.tsv; module freeze/protocol/helper records may be absent	NO_ARCHIVAL	RC2 packaging copy retained for transparency; not a second current entrypoint. Prefer frozen_originals for historical implementation. 
scripts/frozen_originals/04_clonotype/AF35_CLONOTYPE_NEUTRALIZED_STATE_OCCUPANCY_v1/scripts/common.py	FROZEN_ANALYSIS_SCRIPT	Patient-resolved clone context / temporal linkage	See family role, panel index and data/SOURCE_DATA_MANIFEST.tsv	Figure 3; Tables S7,S8	environment/Python_environment.txt	data/SOURCE_DATA_MANIFEST.tsv; historical input expressions in provenance/DIRECT_IO_CONTRACT.tsv; module freeze/protocol/helper records may be absent	NO_ARCHIVAL	Exact sanitized rc1 source blob. Module association is documented, not a unique production-script certification.
scripts/current/04_clonotype/sources/AF35_CLONOTYPE_NEUTRALIZED_STATE_OCCUPANCY_v1/scripts/common.py	HISTORICAL_SCRIPT	Patient-resolved clone context / temporal linkage	See family role, panel index and data/SOURCE_DATA_MANIFEST.tsv	Figure 3; Tables S7,S8	environment/Python_environment.txt	data/SOURCE_DATA_MANIFEST.tsv; historical input expressions in provenance/DIRECT_IO_CONTRACT.tsv; module freeze/protocol/helper records may be absent	NO_ARCHIVAL	RC2 packaging copy retained for transparency; not a second current entrypoint. Prefer frozen_originals for historical implementation. 
scripts/frozen_originals/06_clinical/AF35_COMPONENT_ABLATION_ASSOCIATION_ROBUSTNESS_v1/01_freeze.py	FROZEN_ANALYSIS_SCRIPT	Pretreatment clinical association and comparator sensitivity	ERP117672; GSE302495	Figure 3E-H and Figure 5; Tables S8,S11-S14	environment/Python_environment.txt	data/SOURCE_DATA_MANIFEST.tsv; historical input expressions in provenance/DIRECT_IO_CONTRACT.tsv; module freeze/protocol/helper records may be absent	NO_ARCHIVAL	Exact sanitized rc1 source blob. Module association is documented, not a unique production-script certification.
scripts/current/06_clinical/sources/AF35_COMPONENT_ABLATION_ASSOCIATION_ROBUSTNESS_v1/01_freeze.py	HISTORICAL_SCRIPT	Pretreatment clinical association and comparator sensitivity	ERP117672; GSE302495	Figure 3E-H and Figure 5; Tables S8,S11-S14	environment/Python_environment.txt	data/SOURCE_DATA_MANIFEST.tsv; historical input expressions in provenance/DIRECT_IO_CONTRACT.tsv; module freeze/protocol/helper records may be absent	NO_ARCHIVAL	RC2 packaging copy retained for transparency; not a second current entrypoint. Prefer frozen_originals for historical implementation. 
scripts/frozen_originals/06_clinical/AF35_COMPONENT_ABLATION_ASSOCIATION_ROBUSTNESS_v1/05_analyze.py	FROZEN_ANALYSIS_SCRIPT	Pretreatment clinical association and comparator sensitivity	ERP117672; GSE302495	Figure 3E-H and Figure 5; Tables S8,S11-S14	environment/Python_environment.txt	data/SOURCE_DATA_MANIFEST.tsv; historical input expressions in provenance/DIRECT_IO_CONTRACT.tsv; module freeze/protocol/helper records may be absent	NO_ARCHIVAL	Exact sanitized rc1 source blob. Module association is documented, not a unique production-script certification.
scripts/current/06_clinical/sources/AF35_COMPONENT_ABLATION_ASSOCIATION_ROBUSTNESS_v1/05_analyze.py	HISTORICAL_SCRIPT	Pretreatment clinical association and comparator sensitivity	ERP117672; GSE302495	Figure 3E-H and Figure 5; Tables S8,S11-S14	environment/Python_environment.txt	data/SOURCE_DATA_MANIFEST.tsv; historical input expressions in provenance/DIRECT_IO_CONTRACT.tsv; module freeze/protocol/helper records may be absent	NO_ARCHIVAL	RC2 packaging copy retained for transparency; not a second current entrypoint. Prefer frozen_originals for historical implementation. 
scripts/frozen_originals/03_AF35_measurement/AF35_FUNCTIONAL_ROLE_STATE_ARCHITECTURE_v1/scripts/00_initialize.py	FROZEN_ANALYSIS_SCRIPT	Fixed-program measurement and molecular structure	ERP117672; GSE302495	Figure 2; Tables S3,S6	environment/Python_environment.txt	data/SOURCE_DATA_MANIFEST.tsv; historical input expressions in provenance/DIRECT_IO_CONTRACT.tsv; module freeze/protocol/helper records may be absent	NO_ARCHIVAL	Exact sanitized rc1 source blob. Module association is documented, not a unique production-script certification.
scripts/current/03_AF35_measurement/sources/AF35_FUNCTIONAL_ROLE_STATE_ARCHITECTURE_v1/scripts/00_initialize.py	HISTORICAL_SCRIPT	Fixed-program measurement and molecular structure	ERP117672; GSE302495	Figure 2; Tables S3,S6	environment/Python_environment.txt	data/SOURCE_DATA_MANIFEST.tsv; historical input expressions in provenance/DIRECT_IO_CONTRACT.tsv; module freeze/protocol/helper records may be absent	NO_ARCHIVAL	RC2 packaging copy retained for transparency; not a second current entrypoint. Prefer frozen_originals for historical implementation. 
scripts/frozen_originals/03_AF35_measurement/AF35_FUNCTIONAL_ROLE_STATE_ARCHITECTURE_v1/scripts/03_molecular_and_state.py	FROZEN_ANALYSIS_SCRIPT	Fixed-program measurement and molecular structure	See family role, panel index and data/SOURCE_DATA_MANIFEST.tsv	Figure 2; Tables S3,S6	environment/Python_environment.txt	data/SOURCE_DATA_MANIFEST.tsv; historical input expressions in provenance/DIRECT_IO_CONTRACT.tsv; module freeze/protocol/helper records may be absent	NO_ARCHIVAL	Exact sanitized rc1 source blob. Module association is documented, not a unique production-script certification.
scripts/current/03_AF35_measurement/sources/AF35_FUNCTIONAL_ROLE_STATE_ARCHITECTURE_v1/scripts/03_molecular_and_state.py	HISTORICAL_SCRIPT	Fixed-program measurement and molecular structure	See family role, panel index and data/SOURCE_DATA_MANIFEST.tsv	Figure 2; Tables S3,S6	environment/Python_environment.txt	data/SOURCE_DATA_MANIFEST.tsv; historical input expressions in provenance/DIRECT_IO_CONTRACT.tsv; module freeze/protocol/helper records may be absent	NO_ARCHIVAL	RC2 packaging copy retained for transparency; not a second current entrypoint. Prefer frozen_originals for historical implementation. 
scripts/frozen_originals/07_perturbation/AF35_FUNCTIONAL_ROLE_STATE_ARCHITECTURE_v1/scripts/04_recover_frozen_perturbation.py	FROZEN_ANALYSIS_SCRIPT	Perturbation / human genetic activation context	GSE314342	Figure 1G,H; Table S5	environment/Python_environment.txt	data/SOURCE_DATA_MANIFEST.tsv; historical input expressions in provenance/DIRECT_IO_CONTRACT.tsv; module freeze/protocol/helper records may be absent	NO_ARCHIVAL	Exact sanitized rc1 source blob. Module association is documented, not a unique production-script certification.
scripts/current/07_perturbation/sources/AF35_FUNCTIONAL_ROLE_STATE_ARCHITECTURE_v1/scripts/04_recover_frozen_perturbation.py	HISTORICAL_SCRIPT	Perturbation / human genetic activation context	GSE314342	Figure 1G,H; Table S5	environment/Python_environment.txt	data/SOURCE_DATA_MANIFEST.tsv; historical input expressions in provenance/DIRECT_IO_CONTRACT.tsv; module freeze/protocol/helper records may be absent	NO_ARCHIVAL	RC2 packaging copy retained for transparency; not a second current entrypoint. Prefer frozen_originals for historical implementation. 
scripts/frozen_originals/04_clonotype/AF35_LONGITUDINAL_CLONAL_STATE_DYNAMICS_M2_CLEANROOM_v1/scripts/03_phaseA_molecular.py	FROZEN_ANALYSIS_SCRIPT	Patient-resolved clone context / temporal linkage	See family role, panel index and data/SOURCE_DATA_MANIFEST.tsv	Figure 3; Tables S7,S8	environment/Python_environment.txt	data/SOURCE_DATA_MANIFEST.tsv; historical input expressions in provenance/DIRECT_IO_CONTRACT.tsv; module freeze/protocol/helper records may be absent	NO_ARCHIVAL	Exact sanitized rc1 source blob. Module association is documented, not a unique production-script certification.
scripts/current/04_clonotype/sources/AF35_LONGITUDINAL_CLONAL_STATE_DYNAMICS_M2_CLEANROOM_v1/scripts/03_phaseA_molecular.py	HISTORICAL_SCRIPT	Patient-resolved clone context / temporal linkage	See family role, panel index and data/SOURCE_DATA_MANIFEST.tsv	Figure 3; Tables S7,S8	environment/Python_environment.txt	data/SOURCE_DATA_MANIFEST.tsv; historical input expressions in provenance/DIRECT_IO_CONTRACT.tsv; module freeze/protocol/helper records may be absent	NO_ARCHIVAL	RC2 packaging copy retained for transparency; not a second current entrypoint. Prefer frozen_originals for historical implementation. 
scripts/frozen_originals/06_clinical/AF35_LONGITUDINAL_CLONAL_STATE_DYNAMICS_M2_CLEANROOM_v1/scripts/06_phaseB_clinical.py	FROZEN_ANALYSIS_SCRIPT	Pretreatment clinical association and comparator sensitivity	See family role, panel index and data/SOURCE_DATA_MANIFEST.tsv	Figure 3E-H and Figure 5; Tables S8,S11-S14	environment/Python_environment.txt	data/SOURCE_DATA_MANIFEST.tsv; historical input expressions in provenance/DIRECT_IO_CONTRACT.tsv; module freeze/protocol/helper records may be absent	NO_ARCHIVAL	Exact sanitized rc1 source blob. Module association is documented, not a unique production-script certification.
scripts/current/06_clinical/sources/AF35_LONGITUDINAL_CLONAL_STATE_DYNAMICS_M2_CLEANROOM_v1/scripts/06_phaseB_clinical.py	HISTORICAL_SCRIPT	Pretreatment clinical association and comparator sensitivity	See family role, panel index and data/SOURCE_DATA_MANIFEST.tsv	Figure 3E-H and Figure 5; Tables S8,S11-S14	environment/Python_environment.txt	data/SOURCE_DATA_MANIFEST.tsv; historical input expressions in provenance/DIRECT_IO_CONTRACT.tsv; module freeze/protocol/helper records may be absent	NO_ARCHIVAL	RC2 packaging copy retained for transparency; not a second current entrypoint. Prefer frozen_originals for historical implementation. 
scripts/frozen_originals/04_clonotype/AF35_LONGITUDINAL_CLONAL_STATE_DYNAMICS_M2_CLEANROOM_v1/scripts/07_phaseB_verify.R	FROZEN_ANALYSIS_SCRIPT	Patient-resolved clone context / temporal linkage	See family role, panel index and data/SOURCE_DATA_MANIFEST.tsv	Figure 3; Tables S7,S8	environment/R_environment.txt	data/SOURCE_DATA_MANIFEST.tsv; historical input expressions in provenance/DIRECT_IO_CONTRACT.tsv; module freeze/protocol/helper records may be absent	NO_ARCHIVAL	Exact sanitized rc1 source blob. Module association is documented, not a unique production-script certification.
scripts/current/04_clonotype/sources/AF35_LONGITUDINAL_CLONAL_STATE_DYNAMICS_M2_CLEANROOM_v1/scripts/07_phaseB_verify.R	HISTORICAL_SCRIPT	Patient-resolved clone context / temporal linkage	See family role, panel index and data/SOURCE_DATA_MANIFEST.tsv	Figure 3; Tables S7,S8	environment/R_environment.txt	data/SOURCE_DATA_MANIFEST.tsv; historical input expressions in provenance/DIRECT_IO_CONTRACT.tsv; module freeze/protocol/helper records may be absent	NO_ARCHIVAL	RC2 packaging copy retained for transparency; not a second current entrypoint. Prefer frozen_originals for historical implementation. 
scripts/frozen_originals/04_clonotype/AF35_LONGITUDINAL_CLONAL_STATE_DYNAMICS_M2_CLEANROOM_v1/scripts/common.py	FROZEN_ANALYSIS_SCRIPT	Patient-resolved clone context / temporal linkage	See family role, panel index and data/SOURCE_DATA_MANIFEST.tsv	Figure 3; Tables S7,S8	environment/Python_environment.txt	data/SOURCE_DATA_MANIFEST.tsv; historical input expressions in provenance/DIRECT_IO_CONTRACT.tsv; module freeze/protocol/helper records may be absent	NO_ARCHIVAL	Exact sanitized rc1 source blob. Module association is documented, not a unique production-script certification.
scripts/current/04_clonotype/sources/AF35_LONGITUDINAL_CLONAL_STATE_DYNAMICS_M2_CLEANROOM_v1/scripts/common.py	HISTORICAL_SCRIPT	Patient-resolved clone context / temporal linkage	See family role, panel index and data/SOURCE_DATA_MANIFEST.tsv	Figure 3; Tables S7,S8	environment/Python_environment.txt	data/SOURCE_DATA_MANIFEST.tsv; historical input expressions in provenance/DIRECT_IO_CONTRACT.tsv; module freeze/protocol/helper records may be absent	NO_ARCHIVAL	RC2 packaging copy retained for transparency; not a second current entrypoint. Prefer frozen_originals for historical implementation. 
scripts/frozen_originals/06_clinical/AF35_MATCHED_RANDOM_CLINICAL_NULL_v1/02_freeze_matched_programs.py	FROZEN_ANALYSIS_SCRIPT	Pretreatment clinical association and comparator sensitivity	ERP117672; GSE302495	Figure 3E-H and Figure 5; Tables S8,S11-S14	environment/Python_environment.txt	data/SOURCE_DATA_MANIFEST.tsv; historical input expressions in provenance/DIRECT_IO_CONTRACT.tsv; module freeze/protocol/helper records may be absent	NO_ARCHIVAL	Exact sanitized rc1 source blob. Module association is documented, not a unique production-script certification.
scripts/current/06_clinical/sources/AF35_MATCHED_RANDOM_CLINICAL_NULL_v1/02_freeze_matched_programs.py	HISTORICAL_SCRIPT	Pretreatment clinical association and comparator sensitivity	ERP117672; GSE302495	Figure 3E-H and Figure 5; Tables S8,S11-S14	environment/Python_environment.txt	data/SOURCE_DATA_MANIFEST.tsv; historical input expressions in provenance/DIRECT_IO_CONTRACT.tsv; module freeze/protocol/helper records may be absent	NO_ARCHIVAL	RC2 packaging copy retained for transparency; not a second current entrypoint. Prefer frozen_originals for historical implementation. 
scripts/frozen_originals/06_clinical/AF35_MATCHED_RANDOM_CLINICAL_NULL_v1/03_score_and_join.R	FROZEN_ANALYSIS_SCRIPT	Pretreatment clinical association and comparator sensitivity	ERP117672; GSE302495	Figure 3E-H and Figure 5; Tables S8,S11-S14	environment/R_environment.txt	data/SOURCE_DATA_MANIFEST.tsv; historical input expressions in provenance/DIRECT_IO_CONTRACT.tsv; module freeze/protocol/helper records may be absent	NO_ARCHIVAL	Exact sanitized rc1 source blob. Module association is documented, not a unique production-script certification.
scripts/current/06_clinical/sources/AF35_MATCHED_RANDOM_CLINICAL_NULL_v1/03_score_and_join.R	HISTORICAL_SCRIPT	Pretreatment clinical association and comparator sensitivity	ERP117672; GSE302495	Figure 3E-H and Figure 5; Tables S8,S11-S14	environment/R_environment.txt	data/SOURCE_DATA_MANIFEST.tsv; historical input expressions in provenance/DIRECT_IO_CONTRACT.tsv; module freeze/protocol/helper records may be absent	NO_ARCHIVAL	RC2 packaging copy retained for transparency; not a second current entrypoint. Prefer frozen_originals for historical implementation. 
scripts/frozen_originals/06_clinical/AF35_MATCHED_RANDOM_CLINICAL_NULL_v1/04_summarize_and_verify.py	FROZEN_ANALYSIS_SCRIPT	Pretreatment clinical association and comparator sensitivity	ERP117672; GSE302495	Figure 3E-H and Figure 5; Tables S8,S11-S14	environment/Python_environment.txt	data/SOURCE_DATA_MANIFEST.tsv; historical input expressions in provenance/DIRECT_IO_CONTRACT.tsv; module freeze/protocol/helper records may be absent	NO_ARCHIVAL	Exact sanitized rc1 source blob. Module association is documented, not a unique production-script certification.
scripts/current/06_clinical/sources/AF35_MATCHED_RANDOM_CLINICAL_NULL_v1/04_summarize_and_verify.py	HISTORICAL_SCRIPT	Pretreatment clinical association and comparator sensitivity	ERP117672; GSE302495	Figure 3E-H and Figure 5; Tables S8,S11-S14	environment/Python_environment.txt	data/SOURCE_DATA_MANIFEST.tsv; historical input expressions in provenance/DIRECT_IO_CONTRACT.tsv; module freeze/protocol/helper records may be absent	NO_ARCHIVAL	RC2 packaging copy retained for transparency; not a second current entrypoint. Prefer frozen_originals for historical implementation. 
scripts/frozen_originals/03_AF35_measurement/AF35_RESPONSE_BLIND_PROGRAM_COHERENCE_v1/scripts/00_initialize.py	FROZEN_ANALYSIS_SCRIPT	Fixed-program measurement and molecular structure	ERP117672; GSE302495	Figure 2; Tables S3,S6	environment/Python_environment.txt	data/SOURCE_DATA_MANIFEST.tsv; historical input expressions in provenance/DIRECT_IO_CONTRACT.tsv; module freeze/protocol/helper records may be absent	NO_ARCHIVAL	Exact sanitized rc1 source blob. Module association is documented, not a unique production-script certification.
scripts/current/03_AF35_measurement/sources/AF35_RESPONSE_BLIND_PROGRAM_COHERENCE_v1/scripts/00_initialize.py	HISTORICAL_SCRIPT	Fixed-program measurement and molecular structure	ERP117672; GSE302495	Figure 2; Tables S3,S6	environment/Python_environment.txt	data/SOURCE_DATA_MANIFEST.tsv; historical input expressions in provenance/DIRECT_IO_CONTRACT.tsv; module freeze/protocol/helper records may be absent	NO_ARCHIVAL	RC2 packaging copy retained for transparency; not a second current entrypoint. Prefer frozen_originals for historical implementation. 
scripts/frozen_originals/03_AF35_measurement/AF35_RESPONSE_BLIND_PROGRAM_COHERENCE_v1/scripts/01_freeze_and_analyze.py	FROZEN_ANALYSIS_SCRIPT	Fixed-program measurement and molecular structure	ERP117672; ERP35; ERP40; GSE302495; GSE38	Figure 2; Tables S3,S6	environment/Python_environment.txt	data/SOURCE_DATA_MANIFEST.tsv; historical input expressions in provenance/DIRECT_IO_CONTRACT.tsv; module freeze/protocol/helper records may be absent	NO_ARCHIVAL	Exact sanitized rc1 source blob. Module association is documented, not a unique production-script certification.
scripts/current/03_AF35_measurement/sources/AF35_RESPONSE_BLIND_PROGRAM_COHERENCE_v1/scripts/01_freeze_and_analyze.py	HISTORICAL_SCRIPT	Fixed-program measurement and molecular structure	ERP117672; ERP35; ERP40; GSE302495; GSE38	Figure 2; Tables S3,S6	environment/Python_environment.txt	data/SOURCE_DATA_MANIFEST.tsv; historical input expressions in provenance/DIRECT_IO_CONTRACT.tsv; module freeze/protocol/helper records may be absent	NO_ARCHIVAL	RC2 packaging copy retained for transparency; not a second current entrypoint. Prefer frozen_originals for historical implementation. 
scripts/frozen_originals/06_clinical/CLINICAL_ANCHOR_READOUT_DECOMPOSITION_v1/scripts/03_paired_and_firth.R	FROZEN_ANALYSIS_SCRIPT	Pretreatment clinical association and comparator sensitivity	ERP117672; GSE302495	Figure 3E-H and Figure 5; Tables S8,S11-S14	environment/R_environment.txt	data/SOURCE_DATA_MANIFEST.tsv; historical input expressions in provenance/DIRECT_IO_CONTRACT.tsv; module freeze/protocol/helper records may be absent	NO_ARCHIVAL	Exact sanitized rc1 source blob. Module association is documented, not a unique production-script certification.
